task_id,suite_split,selected,agent_attempted,functional_pass,freeze_preflight_blocked,dependency_install_failed,context_violation,strict_replacement_required,source_snapshot_id,source_snapshot_match
aiohttp__url_params_core__hard3_001,python150,True,True,False,False,False,True,True,github__aio_libs__aiohttp__f9b96545c5f4,True
alembic__revision_map_core__hard3_001,python150,True,True,False,False,False,True,True,github__sqlalchemy__alembic__56669fdd1c0f,True
anyio__task_group_core__001,hard50,True,True,True,False,False,True,True,github__agronholm__anyio__ae250440c900,True
apischema__serialization_core__001,hard50,True,True,False,False,False,False,False,github__wyfo__apischema__a35301341c71,True
apispec__plugin_documenter_core__001,hard50,True,True,True,False,False,False,False,github__marshmallow_code__apispec__b8a369570aa6,True
apscheduler__cron_trigger_core__hard3_001,python150,True,True,True,False,False,True,True,github__agronholm__apscheduler__8b02f96b57dc,True
arrow__parse_format_core__001,python150,True,True,True,False,False,True,True,github__arrow_py__arrow__c130ffb9980a,True
astroid__nodes_core__001,python150,True,True,True,False,False,True,True,github__pycqa__astroid__d140cd4da9d6,True
asttokens__token_annotate_core__001,hard50,True,True,True,False,False,False,False,github__gristlabs__asttokens__f97a6e1403d9,True
attrs__validators_core__001,python150,True,True,True,False,False,False,False,github__python_attrs__attrs__48bfb491ee6a,True
authlib__oauth2_server_core__001,hard50,True,True,False,False,True,False,True,github__lepture__authlib__772bc72fe844,True
babel__plural_core__001,python150,True,True,True,False,False,False,False,github__python_babel__babel__daa7160174ce,True
bandit__config_plugin_core__001,hard50,True,True,True,False,False,False,False,github__pycqa__bandit__f8b9f1a2210f,True
beaker__session_cache_core__001,hard50,True,True,True,False,False,True,True,github__bbangert__beaker__14368d97c2da,True
betamax__cassette_match_core__001,hard50,True,True,False,False,True,False,True,github__betamaxpy__betamax__8f3d28410367,True
bidict__bidirectional_map_core__001,python150,True,True,True,False,False,False,False,github__jab__bidict__dbbb0ca3e3ea,True
bleach__sanitize_core__001,python150,True,True,True,False,False,True,True,github__mozilla__bleach__985ad60b8e4f,True
blinker__signal_registry_core__001,python150,True,True,True,False,False,False,False,github__pallets_eco__blinker__845796dd4cca,True
boltons__iterutils_core__001,python150,True,True,True,False,False,False,False,github__mahmoud__boltons__a4adb0d5e558,True
build__pyproject_backend_core__hard3_001,python150,True,True,False,False,False,False,False,github__pypa__build__0dd08861015a,True
cachetools__cache_eviction_core__001,python150,True,True,True,False,False,False,False,github__tkem__cachetools__b6ff34e99c6f,True
cattrs__structure_core__001,python150,True,True,True,False,False,False,False,github__python_attrs__cattrs__5f60dbb75a07,True
celery__signal_dispatch_core__hard3_001,python150,True,True,False,False,False,False,False,github__celery__celery__ca877f3bafb2,True
cement__controller_plugin_core__001,hard50,True,True,True,False,False,True,True,github__datafolklabs__cement__b5af20431d4c,True
cerberus__schema_validate_core__001,python150,True,True,True,False,False,True,True,github__pyeve__cerberus__f94b31d35afd,True
chameleon__template_compile_core__001,python150,True,True,True,False,False,True,True,github__malthe__chameleon__4718452f9233,True
cherrypy__dispatch_tool_core__001,hard50,True,True,True,False,False,True,True,github__cherrypy__cherrypy__1f75bc9eed8e,True
click__lazy_command_core__hard3_001,python150,True,True,False,False,False,False,False,github__pallets__click__eadb3ec6941c,True
click__option_parser__001,python150,True,True,True,False,False,False,False,github__pallets__click__a7cce6785c62,True
cliff__command_dispatch_core__001,hard50,True,True,True,False,False,True,True,github__openstack__cliff__89efc71e3660,True
configobj__roundtrip_config_core__001,python150,True,True,True,False,False,False,False,github__diffsk__configobj__38e58dce2418,True
connexion__openapi_resolver_core__001,hard50,True,True,False,False,True,False,True,github__spec_first__connexion__a23d44e0e042,True
cookiecutter__repo_finder_core__hard3_001,python150,True,True,False,False,False,False,False,github__cookiecutter__cookiecutter__4a97d92d7fa3,True
copier__template_answers_core__001,hard50,True,True,False,False,True,True,True,github__copier_org__copier__5f71fad40920,True
coverage__config_merge_core__001,python150,True,True,True,False,False,False,False,github__coveragepy__coveragepy__e426d54694bd,True
coverage__glob_matcher_core__001,python150,True,True,True,False,False,False,False,github__coveragepy__coveragepy__e426d54694bd,True
