task_id,model,split,dynamic_runtime_task,dynamic_mechanisms,dynamic_failure_mechanisms,entanglement_description,metadata_signals,correct_entry_file,correct_symbol,dependency_read_coverage,runtime_probe_count,dynamic_runtime_probe_count,dynamic_dependency_recognized,fresh_final_verification,condensation_events,memory_loss_candidate,public_pass,hidden_pass,clean_install_status,still_depends_on_original_repo,earliest_failure_stage,primary_hypothesis,failure_subtype,attribution_confidence,hidden_failure_excerpt,trajectory_path,evaluation_path,total_tokens,agent_knew,agent_actual_behavior,missed_behavior_or_dependency,visibility_of_missing_information,discovery_opportunity,discovered_or_forgotten,most_likely_intervention
pytest__fixture_resolve_core__001,openai/Qwen3-Coder-30B-A3B-Instruct,core100,True,framework_lifecycle;global_state_registry,framework_lifecycle,"Fixture name resolution couples registry state, nodeid visibility rules, and transitive dependency closure used throughout pytest setup.","[""FixtureManager arg2fixturedefs registry with nodeid scoping"", ""getfixtureclosure expands fixture argnames transitively"", ""scope-ordered teardown/setup sequencing encoded in closure sort""]",True,True,1.0,3,2,True,True,0,False,True,False,not_tested_path_import,True,boundary_recovery,H4,verification,high,E           TypeError: FixtureLookupError.__init__() got an unexpected keyword argument 'available' | FAILED ../../workspace/tasks/pytest__fixture_resolve_core__001/hidden_tests/test_hidden_behavior.py::test_fixture_lookup_error_lists_available,experiments/python/openhands/qwen3-coder-30b-a3b-instruct/main-20260702-212731/pytest__fixture_resolve_core__001/agent/openhands_events.jsonl,experiments/python/openhands/qwen3-coder-30b-a3b-instruct/main-20260702-212731/pytest__fixture_resolve_core__001/eval/result.json,1051052,correct entry file; target symbol; public contract passed; dynamic mechanism explicitly discussed,"closure-read coverage 100%; runtime probes 3, dynamic-targeted probes 2; fresh post-edit verification yes; condensations 0",fixture lookup error lists available,workflow/boundary evidence,yes—at least one targeted runtime probe was executed,recognized and retained/used incompletely,forbidden-import audit plus clean isolation check
responses__request_matcher_core__hard3_001,openai/Qwen3.6-35B-A3B-FP8,hard50,True,framework_lifecycle;global_state_registry;third_party_contract,third_party_contract,"Requests PreparedRequest matching, matcher ordering, call state, and exception messages require requests coupling.","[""query param matcher compares parsed query strings"", ""header matcher validates request headers"", ""once responses are removed after first match"", ""call history reset clears registered responses and history""]",True,True,1.0,7,5,True,True,0,False,True,False,not_tested_path_import,True,boundary_recovery,H4,verification,high,E       TypeError: BaseResponse.__init__() got an unexpected keyword argument 'matchers' | FAILED ../../workspace/tasks/responses__request_matcher_core__hard3_001/hidden_tests/test_hidden_contract.py::test_query_and_header_matchers_and_once_behavior,experiments/python/openhands/qwen3.6-35b-a3b-fp8/hard50-qwen3.6-35b-a3b-fp8-20260720-022800/responses__request_matcher_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/qwen3.6-35b-a3b-fp8/hard50-qwen3.6-35b-a3b-fp8-20260720-022800/responses__request_matcher_core__hard3_001/eval/result.json,1299789,correct entry file; target symbol; public contract passed; dynamic mechanism explicitly discussed,"closure-read coverage 100%; runtime probes 7, dynamic-targeted probes 5; fresh post-edit verification yes; condensations 0",query and header matchers and once behavior,workflow/boundary evidence,yes—at least one targeted runtime probe was executed,recognized and retained/used incompletely,forbidden-import audit plus clean isolation check
lark__visitor_transform_core__001,openai/Qwen3.6-27B-FP8,core100,True,dynamic_import_plugin;parser_state,,"Visitor and transformer behavior is tightly coupled to Tree structure, Token leaves, grammar-driven rule names, and parser construction internals.","[""Tree child list shape drives dispatch"", ""Transformer method naming conventions"", ""v_args metadata on callbacks"", ""parser and grammar closure required to build input trees""]",True,True,,0,0,True,True,5,True,False,False,not_tested_path_import,False,budget_exhaustion,H7,exploration_policy_or_budget,medium,==================================== ERRORS ==================================== | ___________________ ERROR collecting test_visitor_hidden.py ____________________ | ImportError while importing test module '/workspace/tasks/lark__visitor_transform_core__001/hidden_tests/test_visitor_hidden.py'. | E   ImportError: cannot import name 'Discard' from 'featurelifted' (unknown location),experiments/python/openhands/qwen3.6-27b-fp8/qwen36-27b-fp8-main-20260704-001328/lark__visitor_transform_core__001/agent/openhands_events.jsonl,experiments/python/openhands/qwen3.6-27b-fp8/qwen36-27b-fp8-main-20260704-001328/lark__visitor_transform_core__001/eval/result.json,5425983,correct entry file; target symbol; public contract not established; dynamic mechanism explicitly discussed,"closure-read coverage unknown; runtime probes 0, dynamic-targeted probes 0; fresh post-edit verification yes; condensations 5",missing exported API: Discard,workflow/boundary evidence,unclear—the trajectory did not execute a usable runtime probe,possible post-condensation loss; weak heuristic only,phase budget with earlier stop/prune policy
pygments__lexer_core__001,openai/Qwen3-Coder-30B-A3B-Instruct,core100,True,dynamic_import_plugin;global_state_registry;parser_state,,"Lexer tokenization couples regex state machines, token types, filter hooks, plugin lookup, and lexer registry state across multiple modules.","[""RegexLexer state stack and rule matching"", ""token type hierarchy shared with filters"", ""lexer cache and alias mapping in lexers package"", ""encoding and modeline side channels""]",True,True,,17,0,True,True,5,True,False,False,not_tested_path_import,False,budget_exhaustion,H7,exploration_policy_or_budget,medium,E   ValueError: too many values to unpack (expected 2) | FAILED ../../workspace/tasks/pygments__lexer_core__001/hidden_tests/test_lexer_hidden.py::test_string_and_comment_tokens_are_distinct,experiments/python/openhands/qwen3-coder-30b-a3b-instruct/main-20260702-212731/pygments__lexer_core__001/agent/openhands_events.jsonl,experiments/python/openhands/qwen3-coder-30b-a3b-instruct/main-20260702-212731/pygments__lexer_core__001/eval/result.json,5347409,correct entry file; target symbol; public contract not established; dynamic mechanism explicitly discussed,"closure-read coverage unknown; runtime probes 17, dynamic-targeted probes 0; fresh post-edit verification yes; condensations 5",string and comment tokens are distinct,workflow/boundary evidence,yes—runtime probes were available but not targeted at the failing mechanism,possible post-condensation loss; weak heuristic only,phase budget with earlier stop/prune policy
isort__settings_resolver_core__hard3_001,openai/Qwen3.6-35B-A3B-FP8,hard50,True,config_environment;dynamic_import_plugin;framework_lifecycle;global_state_registry;resource_packaging,config_environment,"Settings resolution depends on profile defaults, TOML/INI/editorconfig sections, runtime overrides, project root paths, and skip glob matching.","[""Profile settings are lower priority than config files and runtime overrides."", ""pyproject.toml, setup.cfg, .isort.cfg, tox.ini, and .editorconfig use different sections."", ""src_paths are resolved relative to the config directory."", ""skip and extend_skip_glob are merged at runtime for path filtering.""]",True,True,1.0,2,0,True,True,3,False,True,False,not_tested_path_import,False,dependency_discovery,H2,verification,high,==================================== ERRORS ==================================== | ___________________ ERROR collecting test_hidden_contract.py ___________________ | ImportError while importing test module '/workspace/tasks/isort__settings_resolver_core__hard3_001/hidden_tests/test_hidden_contract.py'. | E   ImportError: cannot import name 'ProfileDoesNotExist' from 'featurelifted' (/tmp/featureliftbench-eval-wnrzzhuo/submission-runtime/featurelifted/__init__.py),experiments/python/openhands/qwen3.6-35b-a3b-fp8/hard50-qwen3.6-35b-a3b-fp8-20260720-022800/isort__settings_resolver_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/qwen3.6-35b-a3b-fp8/hard50-qwen3.6-35b-a3b-fp8-20260720-022800/isort__settings_resolver_core__hard3_001/eval/result.json,4210687,correct entry file; target symbol; public contract passed; dynamic mechanism explicitly discussed,"closure-read coverage 100%; runtime probes 2, dynamic-targeted probes 0; fresh post-edit verification yes; condensations 3",missing exported API: ProfileDoesNotExist,statically visible API/dependency closure,yes—runtime probes were available but not targeted at the failing mechanism,recognized and retained/used incompletely,dependency/API closure hint and import-surface checklist
passlib__hash_context_core__001,openai/Qwen3-Coder-30B-A3B-Instruct,core100,True,dynamic_import_plugin;global_state_registry,,"CryptContext couples handler registry, scheme option coercion, and multi-scheme verification policy.","[""handler registry and scheme deprecation"", ""context policy for rounds and identify"", ""pbkdf2_sha256 handler wiring""]",True,True,,6,0,True,True,4,True,True,False,not_tested_path_import,False,dependency_discovery,H2,verification,high,E       AttributeError: 'CryptContext' object has no attribute 'identify' | FAILED ../../workspace/tasks/passlib__hash_context_core__001/hidden_tests/test_hidden_behavior.py::test_context_hash_includes_rounds,experiments/python/openhands/qwen3-coder-30b-a3b-instruct/main-20260702-212731/passlib__hash_context_core__001/agent/openhands_events.jsonl,experiments/python/openhands/qwen3-coder-30b-a3b-instruct/main-20260702-212731/passlib__hash_context_core__001/eval/result.json,3843138,correct entry file; target symbol; public contract passed; dynamic mechanism explicitly discussed,"closure-read coverage unknown; runtime probes 6, dynamic-targeted probes 0; fresh post-edit verification yes; condensations 4",missing behavior/API member: identify,statically visible API/dependency closure,yes—runtime probes were available but not targeted at the failing mechanism,possible post-condensation loss; weak heuristic only,dependency/API closure hint and import-surface checklist
pendulum__parse_format_core__001,deepseek/deepseek-v4-flash,core100,True,dynamic_import_plugin;global_state_registry;parser_state,,"Parse/format couples ISO8601 regex grammars, duration normalization, formatter token tables, and DateTime/Duration data-model arithmetic shared across modules.","[""iso8601 parser handles classic, ordinal, and week-calendar date forms"", ""duration parsing splits Y/M/D and T-segment components with validation"", ""Formatter token expansion shares locale lookups and escape brackets"", ""DateTime.format delegates to Formatter with timezone offset tokens""]",True,True,0.782608695652174,15,0,True,True,4,False,True,False,not_tested_path_import,False,dependency_discovery,H2,verification,high,E       AttributeError: 'Duration' object has no attribute 'remaining_days' | FAILED ../../workspace/tasks/pendulum__parse_format_core__001/hidden_tests/test_hidden_behavior.py::test_parse_duration_weeks_component,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/pendulum__parse_format_core__001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/pendulum__parse_format_core__001/eval/result.json,4565342,correct entry file; target symbol; public contract passed; dynamic mechanism explicitly discussed,"closure-read coverage 78%; runtime probes 15, dynamic-targeted probes 0; fresh post-edit verification yes; condensations 4",missing behavior/API member: remaining_days,statically visible API/dependency closure,yes—runtime probes were available but not targeted at the failing mechanism,recognized and retained/used incompletely,dependency/API closure hint and import-surface checklist
transitions__state_machine_core__hard3_001,deepseek/deepseek-v4-flash,hard50,True,dynamic_import_plugin;global_state_registry,,"State registry, transition conditions, callbacks, nested states, and error modes are stateful and cross-module.","[""conditional transitions skip when condition is false"", ""before and after callbacks run around state changes"", ""nested state names use dotted paths"", ""invalid trigger raises MachineError unless ignored""]",True,True,1.0,16,0,False,True,0,False,True,False,not_tested_path_import,False,dependency_discovery,H2,verification,high,E       AttributeError: 'Model' object has no attribute 'parent' | FAILED ../../workspace/tasks/transitions__state_machine_core__hard3_001/hidden_tests/test_hidden_contract.py::test_nested_state_name,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-wave2wave4/transitions__state_machine_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-wave2wave4/transitions__state_machine_core__hard3_001/eval/result.json,2630608,correct entry file; target symbol; public contract passed; no explicit dynamic-mechanism discussion,"closure-read coverage 100%; runtime probes 16, dynamic-targeted probes 0; fresh post-edit verification yes; condensations 0",missing behavior/API member: parent,statically visible API/dependency closure,yes—runtime probes were available but not targeted at the failing mechanism,not explicitly discovered in agent-authored reasoning,dependency/API closure hint and import-surface checklist
celery__signal_dispatch_core__hard3_001,openai/Qwen3.6-35B-A3B-FP8,hard50,True,framework_lifecycle;global_state_registry,global_state_registry,"Signal receiver registration, weak refs, sender filtering, and robust dispatch are stateful.","[""weak receiver cleanup after sender deletion"", ""sender filtering limits dispatch"", ""exception capture in send responses"", ""duplicate receiver ids via dispatch_uid""]",True,True,1.0,4,0,True,True,1,True,True,False,not_tested_path_import,False,dynamic_semantics,H3,memory_state_management,weak,"E       assert [(<bound meth...449b110>>, 1)] == [] | E         Left contains one more item: (<bound method test_weak_receiver_cleanup.<locals>.Obj.handler of <test_hidden_contract.test_weak_receiver_cleanup.<locals>.Obj object at 0x7fe7d449b110>>, 1) | E         Use -v to get more diff | /workspace/tasks/celery__signal_dispatch_core__hard3_001/hidden_tests/test_hidden_contract.py:53: AssertionError",experiments/python/openhands/qwen3.6-35b-a3b-fp8/hard50-qwen3.6-35b-a3b-fp8-20260720-022800/celery__signal_dispatch_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/qwen3.6-35b-a3b-fp8/hard50-qwen3.6-35b-a3b-fp8-20260720-022800/celery__signal_dispatch_core__hard3_001/eval/result.json,1333737,correct entry file; target symbol; public contract passed; dynamic mechanism explicitly discussed,"closure-read coverage 100%; runtime probes 4, dynamic-targeted probes 0; fresh post-edit verification yes; condensations 1",weak receiver cleanup after sender deletion,runtime-coupled candidate; the exact causal mechanism still lacks runtime gold,yes—runtime probes were available but not targeted at the failing mechanism,possible post-condensation loss; weak heuristic only,evidence-pinned memory with invalidation
configobj__roundtrip_config_core__001,openai/Qwen3-Coder-30B-A3B-Instruct,core100,True,config_environment;global_state_registry;parser_state,config_environment,"ConfigObj couples line parsing, ordered section trees, interpolation engines, and configspec validation.","[""Section/ConfigObj ordered dict semantics"", ""write() round-trip comment handling"", ""Validator type coercion and bounds checks"", ""configspec-driven validate() traversal""]",True,True,1.0,11,2,True,True,1,False,True,False,not_tested_path_import,False,dynamic_semantics,H3,capability_or_implementation,medium,E       AssertionError: assert '# banner' in 'name = Ada' | /workspace/tasks/configobj__roundtrip_config_core__001/hidden_tests/test_hidden_behavior.py:22: AssertionError | FAILED ../../workspace/tasks/configobj__roundtrip_config_core__001/hidden_tests/test_hidden_behavior.py::test_comment_preserved_on_write,experiments/python/openhands/qwen3-coder-30b-a3b-instruct/main-20260702-212731/configobj__roundtrip_config_core__001/agent/openhands_events.jsonl,experiments/python/openhands/qwen3-coder-30b-a3b-instruct/main-20260702-212731/configobj__roundtrip_config_core__001/eval/result.json,3511865,correct entry file; target symbol; public contract passed; dynamic mechanism explicitly discussed,"closure-read coverage 100%; runtime probes 11, dynamic-targeted probes 2; fresh post-edit verification yes; condensations 1",comment preserved on write,runtime-coupled candidate; the exact causal mechanism still lacks runtime gold,yes—at least one targeted runtime probe was executed,recognized and retained/used incompletely,runtime trace plus behavior-differential probe
