task_id,suite_split,construction_split_150,source_repo,source_commit,feature_family_selection,feature_family_v2,copytrap,paper_situation,lift_type,lift_label_status,entanglement_primary_original,entanglement_types_original,normalized_entanglement_types,public_test_count,hidden_test_count,paper_fit,taxonomy_coverage,classification_evidence,taxonomy_version
aiohttp__url_params_core__hard3_001,python150,hard50,aiohttp,649887ca860437e610fc4af5c8363a9be6f19681,validate_normalize_construct,validate_normalize_construct,false,schema_validate,Adapted,labeled,data_model_coupling,data_model_coupling;third_party_dependency_coupling,data_model_invariant;third_party_contract,1,4,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/aiohttp__url_params_core__hard3_001/metadata.json,python200_hard_v1
alembic__revision_map_core__hard3_001,python150,hard50,alembic,c88fa5afaf2b9783a58a918f3fc73abc44daa0a9,algorithm_data_structure,algorithm_data_structure,false,schema_validate,Adapted,labeled,data_model_coupling,data_model_coupling;implicit_dependency_coupling;parser_state_coupling,data_model_invariant;implicit_runtime_dependency;parser_state;static_transitive_dependency,3,7,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/alembic__revision_map_core__hard3_001/metadata.json,python200_hard_v1
anyio__task_group_core__001,hard50,NA,anyio,ae250440c90020b030ba4e83cccc37e9a84512c5,workflow_session_orchestration,workflow_session_orchestration,false,session_lifecycle,Adapted,planned_ledger,framework_coupling,framework_coupling;implicit_dependency_coupling,framework_lifecycle;implicit_runtime_dependency,2,5,RQ5 Adapted workflow over a backend factory (implicit backend pick).,ledger_seed,benchmark/selection/hard50_expansion_20260827.json;benchmark/hard50/anyio__task_group_core__001/metadata.json;benchmark/selection/hard50_design_cards/anyio__task_group_core__001.md,python200_hard_v1
apischema__serialization_core__001,hard50,NA,apischema,a35301341c71d354b2553ae3dabc5262be521756,validate_normalize_construct,validate_normalize_construct,false,schema_validate,Adapted,planned_ledger,data_model_coupling,data_model_coupling;implicit_dependency_coupling,data_model_invariant;implicit_runtime_dependency,3,4,RQ5 typed (de)ser not covered by mashumaro/pydantic slices.,ledger_seed,benchmark/selection/hard50_expansion_20260827.json;benchmark/hard50/apischema__serialization_core__001/metadata.json;benchmark/selection/hard50_design_cards/apischema__serialization_core__001.md,python200_hard_v1
apispec__plugin_documenter_core__001,hard50,NA,apispec,b8a369570aa6a8f24cb60577ab11cdbff26445f3,registry_plugin_dispatch,registry_plugin_dispatch,false,plugin_registry,Adapted,planned_ledger,framework_coupling,framework_coupling;data_model_coupling,framework_lifecycle;data_model_invariant,4,5,RQ5 Adapted plugin surface for OpenAPI documenters.,ledger_seed,benchmark/selection/hard50_expansion_20260827.json;benchmark/hard50/apispec__plugin_documenter_core__001/metadata.json;benchmark/selection/hard50_design_cards/apispec__plugin_documenter_core__001.md,python200_hard_v1
apscheduler__cron_trigger_core__hard3_001,python150,hard50,apscheduler,4de063392ff59f4df6ec0f4e3e2020539d79fdc9,protocol_state_transition,protocol_state_transition,false,parse_codec,Adapted,labeled,parser_state_coupling,implicit_dependency_coupling;parser_state_coupling,implicit_runtime_dependency;parser_state,1,3,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/apscheduler__cron_trigger_core__hard3_001/metadata.json,python200_hard_v1
arrow__parse_format_core__001,python150,core100,arrow,1.2.3-installed-snapshot,parse_tokenize_decode,parse_tokenize_decode,false,parse_codec,Adapted,labeled,parser_state_coupling,data_model_coupling;implicit_dependency_coupling;parser_state_coupling,data_model_invariant;implicit_runtime_dependency;parser_state;static_transitive_dependency,3,7,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/arrow__parse_format_core__001/metadata.json,python200_hard_v1
astroid__nodes_core__001,python150,core100,astroid,2.14.2-installed-snapshot,parse_tokenize_decode,parse_tokenize_decode,false,parse_codec,Adapted,labeled,data_model_coupling,data_model_coupling;framework_coupling;parser_state_coupling,data_model_invariant;dynamic_import_plugin;framework_lifecycle;parser_state;static_transitive_dependency,1,4,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/astroid__nodes_core__001/metadata.json,python200_hard_v1
asttokens__token_annotate_core__001,hard50,NA,asttokens,f97a6e1403d9f0e93940a11b507524550a5c3896,parse_tokenize_decode,parse_tokenize_decode,false,parse_codec,Direct,planned_ledger,parser_state_coupling,parser_state_coupling;data_model_coupling,parser_state;data_model_invariant,3,4,RQ1 parser-state Direct with real AST coupling.,ledger_seed,benchmark/selection/hard50_expansion_20260827.json;benchmark/hard50/asttokens__token_annotate_core__001/metadata.json;benchmark/selection/hard50_design_cards/asttokens__token_annotate_core__001.md,python200_hard_v1
attrs__validators_core__001,python150,core100,attrs,23.1.0,validate_normalize_construct,validate_normalize_construct,false,schema_validate,Direct,labeled,data_model_coupling,data_model_coupling;framework_coupling;implicit_dependency_coupling,data_model_invariant;framework_lifecycle;implicit_runtime_dependency;static_transitive_dependency,2,5,,v2_full,artifacts/research_analysis/python150_task_taxonomy.csv;reports/lift_taxonomy/LIFT_LABELS.jsonl;benchmark/tasks/attrs__validators_core__001/metadata.json,python200_hard_v1
