model,task_id,first_failure_stage,entrypoint_explicit_read,evidence_eligibility,root_cause_primary
deepseek-v4-flash,aiohttp__url_params_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,alembic__revision_map_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,bleach__sanitize_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,celery__signal_dispatch_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,click__lazy_command_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,cookiecutter__repo_finder_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,decorator__signature_preserving_core__001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,flake8__plugin_options_core__hard3_001,public_failure,1,benchmark_invalid_candidate,task_or_evaluator_defect
deepseek-v4-flash,flask__route_dispatch_core__001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,glom__spec_eval_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,installer__wheel_record_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,jupyter_core__paths_resolver_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,jupyter_server__extension_config_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,keyring__backend_select_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,license_expression__policy_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,mkdocs__plugin_config_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,multidict__multidict_mutation_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,parsel__selector_namespace_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,platformdirs__app_dirs_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,pluggy__hook_wrapper_core__hard3_001,public_failure,1,benchmark_invalid_candidate,task_or_evaluator_defect
deepseek-v4-flash,poetry_core__dependency_groups_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,pydantic__field_validator_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,pygments__lexer_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,pytest__ini_markers_core__001,public_failure,1,benchmark_invalid_candidate,task_or_evaluator_defect
deepseek-v4-flash,pytest__marker_registry_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,python_decouple__config_repository_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,readme_renderer__content_type_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,requests_cache__cache_key_core__hard3_001,hidden_failure,1,valid_agent_evidence,dependency_closure
deepseek-v4-flash,responses__request_matcher_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,scrapy__item_loader_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,starlette__route_matching_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,tenacity__retry_state_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,tox__factor_expression_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-flash,yamale__schema_validate_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,alembic__revision_map_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,celery__signal_dispatch_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,click__lazy_command_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,cookiecutter__repo_finder_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,decorator__signature_preserving_core__001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,filelock__reentrant_lock_core__001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,flake8__plugin_options_core__hard3_001,public_failure,1,benchmark_invalid_candidate,task_or_evaluator_defect
deepseek-v4-pro,flask__route_dispatch_core__001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,json_logic__evaluator_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,jupyter_core__paths_resolver_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,keyring__backend_select_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,license_expression__policy_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,mkdocs__plugin_config_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,multidict__multidict_mutation_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,parsel__selector_namespace_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,platformdirs__app_dirs_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,pluggy__hook_wrapper_core__hard3_001,public_failure,1,benchmark_invalid_candidate,task_or_evaluator_defect
deepseek-v4-pro,poetry_core__dependency_groups_core__hard3_001,public_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,pygments__lexer_core__001,hidden_failure,1,valid_agent_evidence,behavior_drift
deepseek-v4-pro,pytest__ini_markers_core__001,public_failure,1,benchmark_invalid_candidate,task_or_evaluator_defect
deepseek-v4-pro,pytest__marker_registry_core__hard3_001,hidden_failure,1,valid_agent_evidence,behavior_drift
