task_id,run_id,model,agent,public_pass,hidden_pass,functional_pass,extraction_ratio,final_score,copied_file_count,copied_loc,repeated_file_reads,repeated_line_reads,tool_error_count,harness_format_error_count,closure_plan_present,self_generated_tests,hidden_risk_discussed,stop_reason,primary_failure,secondary_failure,trajectory_path,evaluation_path,evidence_step_ids,analysis_included,exclusion_reason,run_kind,suite_id,split,task_type,difficulty,dynamic_state_task,contract_review_required,run_status,build_pass,public_executed,hidden_executed,submission_present,copied_measurement_source,source_loc,total_tokens,prompt_tokens,completion_tokens,api_calls,assistant_steps,tool_call_count,repeated_terminal_commands,public_success_step_id,finish_step_id,unsupported_completion_claim,agent_reasoning_error_count,evaluator_environment_error_count,failure_classification_confidence,failure_flags,metadata_path,run_path,submission_path,events_available,evaluation_available
alembic__revision_map_core__hard3_001,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/alembic__revision_map_core__hard3_001,deepseek/deepseek-v4-flash,openhands-agent,true,false,false,0.501692,0.000000,2,1334,9,0,0,0,false,false,false,completion_signal,hidden_interface_or_closure_failure,repeated_exploration,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/alembic__revision_map_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/alembic__revision_map_core__hard3_001/eval/result.json,"[""8860bdda-dfc8-4eed-890d-60079a0493ec"",""a0617c80-8166-48bc-a65c-7ac64177c6d9"",""7432b090-fefd-4675-a729-332fa6b6a840"",""eval:hidden_tests""]",true,,frozen_primary,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104,hard50,data_model_coupling,hard,false,false,failed,true,true,true,true,eval.metrics submission footprint,2659,2071224,2045774,25450,41,45,45,2,8860bdda-dfc8-4eed-890d-60079a0493ec,,false,0,0,medium,"[""repeated_exploration""]",benchmark/tasks/alembic__revision_map_core__hard3_001/metadata.json,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/alembic__revision_map_core__hard3_001/run.json,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/alembic__revision_map_core__hard3_001/submission,true,true
importlib_resources__traversable_tree_core__hard3_001,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/importlib_resources__traversable_tree_core__hard3_001,deepseek/deepseek-v4-flash,openhands-agent,true,false,false,0.297254,0.000000,4,184,0,0,0,0,false,false,true,completion_signal,hidden_interface_or_closure_failure,none,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/importlib_resources__traversable_tree_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/importlib_resources__traversable_tree_core__hard3_001/eval/result.json,"[""f619b411-af73-493f-9ea0-36a686ac97c3"",""eval:hidden_tests""]",true,,frozen_primary,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104,hard50,resource_coupling,hard,true,false,failed,true,true,true,true,eval.metrics submission footprint,619,1421435,1404871,16564,45,36,36,2,f619b411-af73-493f-9ea0-36a686ac97c3,,false,0,0,medium,[],benchmark/tasks/importlib_resources__traversable_tree_core__hard3_001/metadata.json,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/importlib_resources__traversable_tree_core__hard3_001/run.json,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/importlib_resources__traversable_tree_core__hard3_001/submission,true,true
isort__settings_resolver_core__hard3_001,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/isort__settings_resolver_core__hard3_001,deepseek/deepseek-v4-flash,openhands-agent,true,false,false,0.740530,0.000000,4,782,2,0,0,1,false,false,false,explicit_finish,hidden_interface_or_closure_failure,harness_format_errors,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/isort__settings_resolver_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/isort__settings_resolver_core__hard3_001/eval/result.json,"[""8e4b7adf-a71a-4d72-94f7-1d7d63f3a3bd"",""f6db23c3-b517-49ca-a45f-5dac0375576d"",""44449996-8ac7-4dd6-ab40-7a3069e59d37"",""9929fb12-ac76-4992-ae1b-a2884d44d8f3"",""79487a7e-08aa-42d8-83f8-ff1930d23290"",""eval:hidden_tests""]",true,,frozen_primary,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104,hard50,config_environment_coupling,hard,true,false,failed,true,true,true,true,eval.metrics submission footprint,1056,1949668,1922194,27474,47,41,41,3,8e4b7adf-a71a-4d72-94f7-1d7d63f3a3bd,f6db23c3-b517-49ca-a45f-5dac0375576d,true,1,0,medium,"[""repeated_exploration"",""harness_format_errors"",""unsupported_completion_claim""]",benchmark/tasks/isort__settings_resolver_core__hard3_001/metadata.json,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/isort__settings_resolver_core__hard3_001/run.json,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/isort__settings_resolver_core__hard3_001/submission,true,true
jupyter_core__paths_resolver_core__hard3_001,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/jupyter_core__paths_resolver_core__hard3_001,deepseek/deepseek-v4-flash,openhands-agent,true,false,false,0.295572,0.000000,2,287,2,0,1,0,false,false,false,completion_signal,hidden_behavior_contract_failure,tool_execution_errors,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/jupyter_core__paths_resolver_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/jupyter_core__paths_resolver_core__hard3_001/eval/result.json,"[""aaf1814a-cf3b-4d1b-8fe0-a0ad810f44c8"",""acb6f653-b3e9-44f5-9723-6e7efdd300bc"",""c36022b5-0b80-4ef7-85c5-4b22501c122f"",""45684b4e-dc4c-4ac6-90b1-b654e2925e7e"",""eval:hidden_tests""]",true,,frozen_primary,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104,hard50,config_environment_coupling,hard,true,false,failed,true,true,true,true,eval.metrics submission footprint,971,975106,957239,17867,24,28,28,2,aaf1814a-cf3b-4d1b-8fe0-a0ad810f44c8,,false,0,0,medium,"[""repeated_exploration"",""tool_execution_errors""]",benchmark/tasks/jupyter_core__paths_resolver_core__hard3_001/metadata.json,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/jupyter_core__paths_resolver_core__hard3_001/run.json,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/jupyter_core__paths_resolver_core__hard3_001/submission,true,true
keyring__backend_select_core__hard3_001,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/keyring__backend_select_core__hard3_001,deepseek/deepseek-v4-flash,openhands-agent,true,false,false,0.519231,0.000000,9,270,1,1,0,0,true,false,true,explicit_finish,hidden_interface_or_closure_failure,repeated_exploration,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/keyring__backend_select_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/keyring__backend_select_core__hard3_001/eval/result.json,"[""c61a8e25-3fea-45fc-a354-c10df116b7e6"",""a66a16cd-e5a8-4fda-bd06-4c6adf924d36"",""5023c239-4d02-4738-a107-afdf08c8f4b5"",""eval:hidden_tests""]",true,,frozen_primary,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104,hard50,framework_coupling,hard,true,false,failed,true,true,true,true,eval.metrics submission footprint,520,1890741,1855518,35223,58,58,58,4,c61a8e25-3fea-45fc-a354-c10df116b7e6,a66a16cd-e5a8-4fda-bd06-4c6adf924d36,true,1,0,medium,"[""repeated_exploration"",""unsupported_completion_claim""]",benchmark/tasks/keyring__backend_select_core__hard3_001/metadata.json,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/keyring__backend_select_core__hard3_001/run.json,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/keyring__backend_select_core__hard3_001/submission,true,true
license_expression__policy_core__hard3_001,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/license_expression__policy_core__hard3_001,deepseek/deepseek-v4-flash,openhands-agent,true,false,false,0.694754,0.000000,2,1311,6,0,1,1,false,true,false,completion_signal,hidden_behavior_contract_failure,harness_format_errors,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/license_expression__policy_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/license_expression__policy_core__hard3_001/eval/result.json,"[""7978a83a-e098-415e-9c72-df1ab9c304fd"",""0cb47702-af35-4c50-897f-e084fa7f6a5c"",""cadf7f9a-cbc7-4fb6-81ea-bae54d52c014"",""368622f6-46d2-4d6d-99c2-c876e009c80f"",""c49e4724-e133-4a13-96e3-a984d61f3e44"",""eval:hidden_tests""]",true,,frozen_primary,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104,hard50,parser_state_coupling,hard,true,false,failed,true,true,true,true,eval.metrics submission footprint,1887,3215763,3174559,41204,51,51,51,4,7978a83a-e098-415e-9c72-df1ab9c304fd,,false,0,0,medium,"[""repeated_exploration"",""tool_execution_errors"",""harness_format_errors""]",benchmark/tasks/license_expression__policy_core__hard3_001/metadata.json,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/license_expression__policy_core__hard3_001/run.json,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/license_expression__policy_core__hard3_001/submission,true,true
platformdirs__app_dirs_core__hard3_001,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/platformdirs__app_dirs_core__hard3_001,deepseek/deepseek-v4-flash,openhands-agent,true,false,false,0.100709,0.000000,1,199,0,0,1,0,false,false,true,completion_signal,hidden_behavior_contract_failure,tool_execution_errors,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/platformdirs__app_dirs_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/platformdirs__app_dirs_core__hard3_001/eval/result.json,"[""d582280a-51be-45a6-b724-ca2345320ccb"",""8df75e37-e860-407a-9441-fc6db3645ce7"",""eval:hidden_tests""]",true,,frozen_primary,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104,hard50,config_environment_coupling,hard,true,false,failed,true,true,true,true,eval.metrics submission footprint,1976,1993529,1973421,20108,34,38,38,3,d582280a-51be-45a6-b724-ca2345320ccb,,false,0,0,medium,"[""low_extraction_ratio_proxy"",""tool_execution_errors""]",benchmark/tasks/platformdirs__app_dirs_core__hard3_001/metadata.json,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/platformdirs__app_dirs_core__hard3_001/run.json,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/platformdirs__app_dirs_core__hard3_001/submission,true,true
requests_cache__cache_key_core__hard3_001,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/requests_cache__cache_key_core__hard3_001,deepseek/deepseek-v4-flash,openhands-agent,true,false,false,0.963190,0.000000,6,471,0,0,0,0,false,false,true,completion_signal,hidden_interface_or_closure_failure,high_extraction_ratio_proxy,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/requests_cache__cache_key_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/requests_cache__cache_key_core__hard3_001/eval/result.json,"[""ad2fc573-1401-4d53-8856-ab4034c217d6"",""eval:hidden_tests""]",true,,frozen_primary,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104,hard50,third_party_dependency_coupling,hard,true,false,failed,true,true,true,true,eval.metrics submission footprint,489,1651172,1629165,22007,43,51,51,5,ad2fc573-1401-4d53-8856-ab4034c217d6,,false,0,0,medium,"[""high_extraction_ratio_proxy""]",benchmark/tasks/requests_cache__cache_key_core__hard3_001/metadata.json,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/requests_cache__cache_key_core__hard3_001/run.json,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/requests_cache__cache_key_core__hard3_001/submission,true,true
stevedore__extension_manager_core__hard3_001,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/stevedore__extension_manager_core__hard3_001,deepseek/deepseek-v4-flash,openhands-agent,true,true,true,0.878917,0.121083,4,617,0,0,0,0,false,false,true,completion_signal,passed,high_extraction_ratio_proxy,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/stevedore__extension_manager_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/stevedore__extension_manager_core__hard3_001/eval/result.json,"[""c98c6e5a-d4b1-45f8-8a7d-cde36690b202""]",true,,frozen_primary,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104,hard50,framework_coupling,hard,true,false,passed,true,true,true,true,eval.metrics submission footprint,702,1113070,1083291,29779,37,25,25,2,c98c6e5a-d4b1-45f8-8a7d-cde36690b202,,false,0,0,high,"[""high_extraction_ratio_proxy""]",benchmark/tasks/stevedore__extension_manager_core__hard3_001/metadata.json,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/stevedore__extension_manager_core__hard3_001/run.json,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/stevedore__extension_manager_core__hard3_001/submission,true,true
tenacity__retry_state_core__hard3_001,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/tenacity__retry_state_core__hard3_001,deepseek/deepseek-v4-flash,openhands-agent,true,true,true,0.533674,0.466326,5,626,4,0,2,0,false,true,true,explicit_finish,passed,none,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/tenacity__retry_state_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/tenacity__retry_state_core__hard3_001/eval/result.json,"[""aff41c79-9dd7-449d-b199-7f364858a63c"",""2ce238f9-f39f-4acd-a7a4-bf9b9dbf4854"",""0aae92f4-18ea-4e97-bdc7-298bf500038d"",""479d0e0b-44be-4820-b378-428876f93cbc"",""6c69cc6d-438a-4bb9-81cd-f18010f7d483"",""9111e5d7-eb74-4491-a7de-78b002ede7dd""]",true,,frozen_primary,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104,hard50,data_model_coupling,hard,false,false,passed,true,true,true,true,eval.metrics submission footprint,1173,3793096,3744569,48527,63,63,63,4,aff41c79-9dd7-449d-b199-7f364858a63c,2ce238f9-f39f-4acd-a7a4-bf9b9dbf4854,false,0,0,high,"[""repeated_exploration"",""tool_execution_errors""]",benchmark/tasks/tenacity__retry_state_core__hard3_001/metadata.json,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/tenacity__retry_state_core__hard3_001/run.json,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-113104/tenacity__retry_state_core__hard3_001/submission,true,true
