task_id,root_cause_primary,secondary_tags,contract_clause_ids,validity_override,validity_reason,review_status,evidence_summary
apischema__serialization_core__001,agent_process_non_delivery,missing_submission,,,,assistant_first_pass,Agent 正常启动但提交目录中没有生成任何文件
dynaconf__settings_merge_core__001,agent_process_non_delivery,missing_submission,,,,assistant_first_pass,Agent 正常启动但提交目录中没有生成任何文件
aiohttp__url_params_core__hard3_001,contract_api_completion,validation_boundary;exception_semantics,B002;B003,,,assistant_first_pass,提交实现了 header 容器但未拒绝无效 header 名称
dateutil__zone_resolver_core__hard3_001,contract_api_completion,alias_resolution;state_lifecycle,B003,,,assistant_first_pass,别名可以注册但加载时没有沿别名解析到 canonical zone
installer__wheel_record_core__hard3_001,contract_api_completion,validation_boundary;exception_semantics,B002,,,assistant_first_pass,提交能定位 dist-info 但未拒绝同时出现多个候选目录
pygments__lexer_core__001,behavior_drift,option_semantics;tokenization,B004,,,assistant_first_pass,stripall 选项启用后仍产生普通空白 Text token
pytest__marker_registry_core__hard3_001,behavior_drift,exception_semantics,B003,,,assistant_first_pass,strict unknown-marker 路径抛出的异常类型与评测契约不一致
python_decouple__config_repository_core__001,behavior_drift,parsing_normalization;quoting_comments,B001;B002;B003;B004,,,assistant_first_pass,.env 解析保留了引号和行尾注释而不是返回规范化值
responses__request_matcher_core__hard3_001,behavior_drift,state_lifecycle;call_history,B002;B003,,,assistant_first_pass,once response 首次命中后可移除但第二次查找没有进入完整 call history
zope_interface__adapter_registry_core__001,behavior_drift,registry_dispatch;return_value;state_lifecycle,B003,,,assistant_first_pass,named registration 可删除但 unregister 的返回语义与契约不一致
alembic__revision_map_core__hard3_001,behavior_drift,graph_semantics;state_lifecycle,B007,,,assistant_first_pass,merge graph 能得到最终 head 但基础 revision 从索引中丢失
build__pyproject_backend_core__hard3_001,behavior_drift,default_values,B001,,,assistant_first_pass,缺省 build backend 使用 legacy variant 而不是任务要求的默认 backend
celery__signal_dispatch_core__hard3_001,behavior_drift,validation_boundary;callable_compatibility,B001;B004,,,assistant_first_pass,connect 对无关键字参数的普通 callable 施加了过强限制
click__lazy_command_core__hard3_001,task_or_evaluator_defect,undeclared_api,,benchmark_invalid_candidate,运行时 TASK 只声明 get_command 和 resolve 而 evaluator 调用 invoke,assistant_first_pass,首败来自未在公开契约中出现的 invoke 方法
cookiecutter__repo_finder_core__hard3_001,behavior_drift,parsing_normalization;template_expansion,B001,,,assistant_first_pass,缩写展开只提供一个格式参数因而无法处理多占位符模板
decorator__signature_preserving_core__001,behavior_drift,argument_binding;call_semantics,B001;B002;B003;B004,,,assistant_first_pass,装饰器保留了签名和结果但改变了调用者接收到的 args 与 kwargs 形状
flake8__plugin_options_core__hard3_001,contract_api_completion,api_surface,B001,,,assistant_first_pass,OptionManager 缺少注册插件选项所需的公开方法
flask__route_dispatch_core__001,behavior_drift,equality_protocol;return_value,B001;B002;B003;B004,,,assistant_first_pass,路由能返回 Response 但 Response 的可观察相等语义不兼容
hatch__project_metadata_core__hard3_001,task_or_evaluator_defect,undeclared_normalization_rule,,benchmark_invalid_candidate,TASK 只要求 lowercases names 而 evaluator 额外要求空格转连字符,assistant_first_pass,提交满足字面小写要求但测试增加了未公开的 separator canonicalization
