task_id,model,split,lift_type,feature_family,evidence_eligibility,functional_pass,first_failure_stage,root_cause_primary,secondary_tags,contract_clause_ids,context_violation,evidence_summary,evidence_path,review_status,annotator,adjudicated,independent_human_review,validity_override,validity_reason,close_read_tier
aiohttp__url_params_core__hard3_001,deepseek-v4-pro,python150,Adapted,validate_normalize_construct,valid_agent_evidence,false,hidden_failure,contract_api_completion,validation_boundary;exception_semantics,B003,False,"InvalidHeaderName and a token check exist, but a hidden invalid-name case still does not raise the declared exception.",experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/aiohttp__url_params_core__hard3_001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
alembic__revision_map_core__hard3_001,deepseek-v4-pro,python150,Adapted,algorithm_data_structure,valid_agent_evidence,false,public_failure,behavior_drift,state_lifecycle;data_structure_semantics,B003;B007,True,"Merge head lookup succeeds, but get_revision('base') resolves the symbolic base and returns None, shadowing the revision whose id is base.",experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/alembic__revision_map_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
build__pyproject_backend_core__hard3_001,deepseek-v4-pro,python150,Adapted,validate_normalize_construct,valid_agent_evidence,false,public_failure,behavior_drift,default_values,B001,False,Missing build-system table uses a legacy backend string instead of the required default backend.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/build__pyproject_backend_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
celery__signal_dispatch_core__hard3_001,deepseek-v4-pro,python150,Adapted,registry_plugin_dispatch,valid_agent_evidence,false,public_failure,behavior_drift,validation_boundary;call_signature,B001,False,"Signal connect rejects an ordinary callable that does not accept keyword arguments, so send never reaches the receiver.",experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/celery__signal_dispatch_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
click__lazy_command_core__hard3_001,deepseek-v4-pro,python150,Adapted,registry_plugin_dispatch,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_api,,True,First failure is an evaluator call to undeclared invoke; not attributed as an agent closure miss.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/click__lazy_command_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,"Public test calls LazyCommandCollection.invoke, which is absent from required_api and from B003/B004 (get_command/resolve only).",L1
cookiecutter__repo_finder_core__hard3_001,deepseek-v4-pro,python150,Composite,config_resolve_discover,valid_agent_evidence,false,public_failure,behavior_drift,parsing_normalization,B001,True,Abbreviation expansion raises IndexError on a multi-placeholder template instead of returning a complete path.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/cookiecutter__repo_finder_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
decorator__signature_preserving_core__001,deepseek-v4-pro,python150,Direct,workflow_session_orchestration,valid_agent_evidence,false,public_failure,behavior_drift,argument_binding;call_signature,B001;B002,False,Decorator keeps metadata but forwards a different args/kwargs shape than the wrapped call.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/decorator__signature_preserving_core__001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
filelock__reentrant_lock_core__001,deepseek-v4-pro,python150,Adapted,workflow_session_orchestration,valid_agent_evidence,false,public_failure,behavior_drift,state_lifecycle,B002;B004,False,"After the context manager exits, is_locked is false but the lock file is left on disk.",experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/filelock__reentrant_lock_core__001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
flake8__plugin_options_core__hard3_001,deepseek-v4-pro,python150,Composite,registry_plugin_dispatch,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_api,,False,First failure uses undeclared OptionManager.register_options / dict options lookup; excluded from the agent-cause denominator.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/flake8__plugin_options_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,"Public test calls OptionManager.register_options and options[dest]; required_api lists OptionManager with no members, and B001 only says to register options.",L1
flask__route_dispatch_core__001,deepseek-v4-pro,python150,Adapted,registry_plugin_dispatch,valid_agent_evidence,false,public_failure,behavior_drift,return_value;equality_protocol,B001;B003,False,Route dispatch returns a Response-like object whose observable equality or normalization does not match the required Response contract.,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/flask__route_dispatch_core__001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1
