task_id,model,split,lift_type,feature_family,evidence_eligibility,functional_pass,first_failure_stage,root_cause_primary,secondary_tags,contract_clause_ids,context_violation,evidence_summary,evidence_path,review_status,annotator,adjudicated,independent_human_review,validity_override,validity_reason,close_read_tier,sample_kind,process_tag
coverage__path_remap_core__001,gpt-5.6-luna,python150,Adapted,config_resolve_discover,valid_agent_evidence,false,build_failure,contract_api_completion,api_surface;packaging_export,B006,False,Package import fails with ModuleNotFoundError for featurelifted.path_aliases; PathAliases is declared but the module file is absent.,experiments/python/openhands/gpt-5.6-luna/python200-prime-v2-main-r1/coverage__path_remap_core__001/eval/logs/build.stderr,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,probe_not_selected
pygments__lexer_core__001,gpt-5.6-luna,python150,Direct,parse_tokenize_decode,valid_agent_evidence,false,build_failure,contract_api_completion,api_surface,B006,False,"Importing the package hits a SyntaxError in lexer.py (assignment expression used as a comprehension iterable), so the required lexer API never loads.",experiments/python/openhands/gpt-5.6-luna/python200-prime-v2-main-r1/pygments__lexer_core__001/eval/logs/build.stderr,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,probe_not_selected
astroid__nodes_core__001,gpt-5.6-luna,python150,Adapted,parse_tokenize_decode,valid_agent_evidence,false,hidden_failure,contract_api_completion,api_surface;data_structure_semantics,B002;B003,False,"Parsed trees are returned, but a required node field named value is missing on the reconstructed node.",experiments/python/openhands/gpt-5.6-luna/python200-prime-v2-main-r1/astroid__nodes_core__001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,stale_verification
importlib_resources__traversable_tree_core__hard3_001,gpt-5.6-luna,python150,Composite,resource_metadata_loading,valid_agent_evidence,false,hidden_failure,contract_api_completion,exception_semantics;validation_boundary,B005,False,joinpath / slash traversal does not raise TraversalError on an escape above the package root.,experiments/python/openhands/gpt-5.6-luna/python200-prime-v2-main-r1/importlib_resources__traversable_tree_core__hard3_001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,probe_not_selected
jupyter_server__extension_config_core__hard3_001,gpt-5.6-luna,python150,Composite,registry_plugin_dispatch,valid_agent_evidence,false,hidden_failure,behavior_drift,ordering_precedence;state_lifecycle,B002,False,"ExtensionConfigStore applies jupyter_server_config.json after jupyter_server_config.d fragments, so a later .d disable does not override the base file.",experiments/python/openhands/gpt-5.6-luna/python200-prime-v2-main-r1/jupyter_server__extension_config_core__hard3_001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,inspected_and_probed
apscheduler__cron_trigger_core__hard3_001,gpt-5.6-luna,python150,Adapted,protocol_state_transition,valid_agent_evidence,false,public_failure,behavior_drift,default_values;argument_binding,B002;B003,False,"get_next_fire_time ignores the provided start datetime because unset start_time defaults to now, returning 2026-09-04 09:15 instead of 2024-01-01 09:15.",experiments/python/openhands/gpt-5.6-luna/python200-prime-v2-main-r1/apscheduler__cron_trigger_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,probe_not_selected
click__lazy_command_core__hard3_001,gpt-5.6-luna,python150,Adapted,registry_plugin_dispatch,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_api,,False,First failure is an evaluator call to undeclared invoke; not attributed as an agent closure miss.,experiments/python/openhands/gpt-5.6-luna/python200-prime-v2-main-r1/click__lazy_command_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,"Public test calls LazyCommandCollection.invoke, which is absent from required_api and from B003/B004 (get_command/resolve only).",L1,stratified_postsample,probe_not_selected
croniter__cron_parse_core__001,gpt-5.6-luna,python150,Direct,protocol_state_transition,valid_agent_evidence,false,public_failure,behavior_drift,parsing_normalization;return_value,B001;B002,False,Weekday field 1 with DOM * is OR-combined so get_next from the public base datetime lands on 2024-01-16 instead of 2024-01-22.,experiments/python/openhands/gpt-5.6-luna/python200-prime-v2-main-r1/croniter__cron_parse_core__001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,probe_not_selected
filelock__reentrant_lock_core__001,gpt-5.6-luna,python150,Adapted,workflow_session_orchestration,valid_agent_evidence,false,public_failure,behavior_drift,state_lifecycle,B002;B004,False,"After the context manager exits, is_locked is false but the lock file is left on disk.",experiments/python/openhands/gpt-5.6-luna/python200-prime-v2-main-r1/filelock__reentrant_lock_core__001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,probe_not_selected
flake8__plugin_options_core__hard3_001,gpt-5.6-luna,python150,Composite,registry_plugin_dispatch,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_api,,False,First failure uses undeclared OptionManager.register_options / dict options lookup; excluded from the agent-cause denominator.,experiments/python/openhands/gpt-5.6-luna/python200-prime-v2-main-r1/flake8__plugin_options_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,"Public test calls OptionManager.register_options and options[dest]; required_api lists OptionManager with no members, and B001 only says to register options.",L1,stratified_postsample,probe_not_selected
hatch__project_metadata_core__hard3_001,gpt-5.6-luna,python150,Adapted,resource_metadata_loading,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_normalization_rule,,False,Failure is hyphenation beyond the published lowercase-name rule; excluded from the agent-cause denominator.,experiments/python/openhands/gpt-5.6-luna/python200-prime-v2-main-r1/hatch__project_metadata_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,B001 requires lowercasing names; the public test additionally requires space-to-hyphen canonicalization (my package vs my-package).,L1,stratified_postsample,stale_verification
pluggy__hook_wrapper_core__hard3_001,gpt-5.6-luna,python150,Adapted,registry_plugin_dispatch,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_api,,False,First failure is an evaluator call to undeclared call_historic; excluded from the agent-cause denominator.,experiments/python/openhands/gpt-5.6-luna/python200-prime-v2-main-r1/pluggy__hook_wrapper_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,"Public test calls call_historic, which is absent from required_api and from the published hook-wrapper clauses.",L1,stratified_postsample,inspected_and_probed
pytest__ini_markers_core__001,gpt-5.6-luna,python150,Composite,config_resolve_discover,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_normalization_rule,,False,Public strip vs B003 preserve-description clash; excluded from the agent-cause denominator.,experiments/python/openhands/gpt-5.6-luna/python200-prime-v2-main-r1/pytest__ini_markers_core__001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,B003 preserves description whitespace; the public test strips it. Hidden-only fails of this task are the same clause clash.,L1,stratified_postsample,inspected_and_probed
readme_renderer__content_type_core__hard3_001,gpt-5.6-luna,python150,Adapted,serialize_format_render,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_output_marker,,False,Failure is an extra literal marker check; excluded from the agent-cause denominator.,experiments/python/openhands/gpt-5.6-luna/python200-prime-v2-main-r1/readme_renderer__content_type_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,Public test requires a literal markdown marker beyond the rendered heading already required by the published clauses.,L1,stratified_postsample,inspected_and_probed
setuptools_scm__version_normalize_core__hard3_001,gpt-5.6-luna,python150,Adapted,resource_metadata_loading,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_normalization_rule;default_values,,False,Public exact 1.2.3 clashes with the published default node plus B003 local segment; excluded from the agent-cause denominator.,experiments/python/openhands/gpt-5.6-luna/python200-prime-v2-main-r1/setuptools_scm__version_normalize_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,required_api defaults node to g1234567 and B003 requires a local segment when node is present; the public test omits node and asserts a clean 1.2.3.,L1,stratified_postsample,probe_not_selected
lark__parse_tree_core__001,gpt-oss-120b,python150,Direct,parse_tokenize_decode,valid_agent_evidence,false,build_failure,packaging_modularization,packaging_export;resource_loading,B006;B007,False,"The submitted package loads Lark from an eval-time repo/ path; that path is absent in isolation, so import raises FileNotFoundError.",experiments/python/openhands/gpt-oss-120b/python200-prime-v2-main-r1/lark__parse_tree_core__001/eval/logs/build.stderr,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,probe_not_selected
readme_renderer__content_type_core__hard3_001,gpt-oss-120b,python150,Adapted,serialize_format_render,valid_agent_evidence,false,build_failure,dependency_closure,resource_loading,B004,False,"Package import fails with ModuleNotFoundError for nh3, which is not an eval-provided dependency.",experiments/python/openhands/gpt-oss-120b/python200-prime-v2-main-r1/readme_renderer__content_type_core__hard3_001/eval/logs/build.stderr,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,inspected_and_probed
sqlparse__parse_format_core__001,gpt-oss-120b,python150,Adapted,parse_tokenize_decode,valid_agent_evidence,false,build_failure,packaging_modularization,packaging_export,B006;B007,False,"Submitted engine modules import sqlparse rather than the standalone featurelifted package, and the isolation audit records that import.",experiments/python/openhands/gpt-oss-120b/python200-prime-v2-main-r1/sqlparse__parse_format_core__001/eval/logs/build.stderr,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,probe_not_selected
sqlparse__token_tree_core__001,gpt-oss-120b,python150,Adapted,parse_tokenize_decode,valid_agent_evidence,false,build_failure,packaging_modularization,packaging_export,B006;B007,False,__init__.py calls import_module('sqlparse'); sqlparse is not present in the isolated eval environment.,experiments/python/openhands/gpt-oss-120b/python200-prime-v2-main-r1/sqlparse__token_tree_core__001/eval/logs/build.stderr,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,probe_not_selected
coverage__config_merge_core__001,gpt-oss-120b,python150,Adapted,config_resolve_discover,valid_agent_evidence,false,hidden_failure,contract_api_completion,api_surface;default_values,B002;B005,False,"CoverageConfig exposes source but not source_pkgs, so a required run-config list option cannot be read.",experiments/python/openhands/gpt-oss-120b/python200-prime-v2-main-r1/coverage__config_merge_core__001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,inspected_and_probed
python_dateutil__relativedelta_core__001,gpt-oss-120b,python150,Direct,algorithm_data_structure,valid_agent_evidence,false,hidden_failure,behavior_drift,data_structure_semantics;return_value,B002;B005,False,relativedelta difference mode folds leftover days into seconds and leaves days at 0 instead of keeping calendar days.,experiments/python/openhands/gpt-oss-120b/python200-prime-v2-main-r1/python_dateutil__relativedelta_core__001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,inspected_and_probed
voluptuous__schema_validate_core__001,gpt-oss-120b,python150,Direct,validate_normalize_construct,valid_agent_evidence,false,hidden_failure,behavior_drift,return_value;validation_boundary,B004,False,MultipleInvalid error paths list nested keys in a different sequence than the required aggregated failure paths.,experiments/python/openhands/gpt-oss-120b/python200-prime-v2-main-r1/voluptuous__schema_validate_core__001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,probe_not_selected
email_validator__validate_core__001,gpt-oss-120b,python150,Direct,parse_tokenize_decode,valid_agent_evidence,false,isolation_failure,packaging_modularization,packaging_export,B010,False,Behavior gates passed; isolation fails because validate_email.py imports the forbidden extra module dns.,experiments/python/openhands/gpt-oss-120b/python200-prime-v2-main-r1/email_validator__validate_core__001/eval/result.json,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,stale_verification
arrow__parse_format_core__001,gpt-oss-120b,python150,Adapted,parse_tokenize_decode,valid_agent_evidence,false,public_failure,contract_api_completion,api_surface,B001;B005,False,"get() returns an Arrow with year/month/day but no hour attribute, so the ISO datetime case cannot be observed.",experiments/python/openhands/gpt-oss-120b/python200-prime-v2-main-r1/arrow__parse_format_core__001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,probe_not_selected
cattrs__structure_core__001,gpt-oss-120b,python150,Direct,serialize_format_render,valid_agent_evidence,false,public_failure,contract_api_completion,data_structure_semantics;call_signature,B001;B002,False,"Converter.unstructure works, but structure hits TypeError from isinstance() on string field annotations instead of round-tripping the attrs instance.",experiments/python/openhands/gpt-oss-120b/python200-prime-v2-main-r1/cattrs__structure_core__001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,probe_not_selected
click__lazy_command_core__hard3_001,gpt-oss-120b,python150,Adapted,registry_plugin_dispatch,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_api,,False,First failure is an evaluator call to undeclared invoke; not attributed as an agent closure miss.,experiments/python/openhands/gpt-oss-120b/python200-prime-v2-main-r1/click__lazy_command_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,"Public test calls LazyCommandCollection.invoke, which is absent from required_api and from B003/B004 (get_command/resolve only).",L1,stratified_postsample,probe_not_selected
dataclasses_json__serde_core__001,gpt-oss-120b,python150,Direct,serialize_format_render,valid_agent_evidence,false,public_failure,behavior_drift,serialization_rendering;parsing_normalization,B002;B003,False,config(field_name=...) is ignored; to_dict emits given_name instead of givenName.,experiments/python/openhands/gpt-oss-120b/python200-prime-v2-main-r1/dataclasses_json__serde_core__001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,probe_not_selected
jinja2__lexer_parser_core__001,gpt-oss-120b,python150,Adapted,parse_tokenize_decode,valid_agent_evidence,false,public_failure,contract_api_completion,api_surface;data_structure_semantics,B002;B005,False,"Environment.parse returns a Template node that has no body attribute, so variable-output AST navigation cannot start.",experiments/python/openhands/gpt-oss-120b/python200-prime-v2-main-r1/jinja2__lexer_parser_core__001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,probe_not_selected
pluggy__hook_wrapper_core__hard3_001,gpt-oss-120b,python150,Adapted,registry_plugin_dispatch,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_api,,False,First failure is an evaluator call to undeclared call_historic; excluded from the agent-cause denominator.,experiments/python/openhands/gpt-oss-120b/python200-prime-v2-main-r1/pluggy__hook_wrapper_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,"Public test calls call_historic, which is absent from required_api and from the published hook-wrapper clauses.",L1,stratified_postsample,probe_not_selected
pytest__ini_markers_core__001,gpt-oss-120b,python150,Composite,config_resolve_discover,benchmark_invalid_candidate,false,public_failure,task_or_evaluator_defect,undeclared_normalization_rule,,False,Public strip vs B003 preserve-description clash; excluded from the agent-cause denominator.,experiments/python/openhands/gpt-oss-120b/python200-prime-v2-main-r1/pytest__ini_markers_core__001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,B003 preserves description whitespace; the public test strips it. Hidden-only fails of this task are the same clause clash.,L1,stratified_postsample,stale_verification
redis__resp_parser_core__001,gpt-oss-120b,python150,Adapted,protocol_state_transition,valid_agent_evidence,false,public_failure,contract_api_completion,api_surface,B001;B006,False,"_RESP2Parser is exported but has no on_connect, so RESP2 simple/bulk replies cannot be fed to the parser.",experiments/python/openhands/gpt-oss-120b/python200-prime-v2-main-r1/redis__resp_parser_core__001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,probe_not_selected
lark__parse_tree_core__001,qwen3.6-35b-a3b-fp8,python150,Direct,parse_tokenize_decode,valid_agent_evidence,false,build_failure,dependency_closure,api_surface;resource_loading,B006,True,Package import fails with ImportError: ContextualLexer is referenced from parser_frontends but not exported by lexer.py.,experiments/python/openhands/qwen3.6-35b-a3b-fp8/python200-prime-v2-main-r1/lark__parse_tree_core__001/eval/logs/build.stderr,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,inspected_and_probed
readme_renderer__content_type_core__hard3_001,qwen3.6-35b-a3b-fp8,python150,Adapted,serialize_format_render,valid_agent_evidence,false,build_failure,dependency_closure,resource_loading,B004,False,"markdown.py imports pygments, which is not installed in the eval environment, so the package cannot import.",experiments/python/openhands/qwen3.6-35b-a3b-fp8/python200-prime-v2-main-r1/readme_renderer__content_type_core__hard3_001/eval/logs/build.stderr,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,stale_verification
sqlparse__parse_format_core__001,qwen3.6-35b-a3b-fp8,python150,Adapted,parse_tokenize_decode,valid_agent_evidence,false,build_failure,packaging_modularization,packaging_export,B006,False,"Importing featurelifted hits a circular import between engine/__init__.py and engine/grouping.py, so the standalone package never loads.",experiments/python/openhands/qwen3.6-35b-a3b-fp8/python200-prime-v2-main-r1/sqlparse__parse_format_core__001/eval/logs/build.stderr,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,stale_verification
attrs__validators_core__001,qwen3.6-35b-a3b-fp8,python150,Direct,validate_normalize_construct,valid_agent_evidence,false,hidden_failure,behavior_drift,state_lifecycle;validation_boundary,B001;B005,False,"validators.set_disabled exists, but define() still runs field validators because _make.validate reads a stale _run_validators flag.",experiments/python/openhands/qwen3.6-35b-a3b-fp8/python200-prime-v2-main-r1/attrs__validators_core__001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,stale_verification
glom__spec_eval_core__hard3_001,qwen3.6-35b-a3b-fp8,python150,Adapted,algorithm_data_structure,valid_agent_evidence,false,hidden_failure,behavior_drift,data_structure_semantics;return_value,B002,False,"Coalesce is present, but a list of child path specs is treated as one list spec, so evaluation returns the configured default instead of the first successful child.",experiments/python/openhands/qwen3.6-35b-a3b-fp8/python200-prime-v2-main-r1/glom__spec_eval_core__hard3_001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,inspected_and_probed
pytest__ini_markers_core__001,qwen3.6-35b-a3b-fp8,python150,Composite,config_resolve_discover,benchmark_invalid_candidate,false,hidden_failure,task_or_evaluator_defect,undeclared_normalization_rule,,False,Public strip vs B003 preserve-description clash; excluded from the agent-cause denominator.,experiments/python/openhands/qwen3.6-35b-a3b-fp8/python200-prime-v2-main-r1/pytest__ini_markers_core__001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,benchmark_invalid_candidate,B003 preserves description whitespace; the public test strips it. Hidden-only fails of this task are the same clause clash.,L1,stratified_postsample,inspected_and_probed
python_decouple__config_repository_core__001,qwen3.6-35b-a3b-fp8,python150,Adapted,config_resolve_discover,valid_agent_evidence,false,hidden_failure,behavior_drift,parsing_normalization,B002,False,Quoted .env values keep surrounding quotes and a trailing inline comment instead of returning the unquoted value.,experiments/python/openhands/qwen3.6-35b-a3b-fp8/python200-prime-v2-main-r1/python_decouple__config_repository_core__001/eval/logs/hidden.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,inspected_and_probed
alembic__revision_map_core__hard3_001,qwen3.6-35b-a3b-fp8,python150,Adapted,algorithm_data_structure,valid_agent_evidence,false,public_failure,behavior_drift,state_lifecycle;data_structure_semantics,B003;B006,False,"get_revision('base') resolves the symbolic base and returns None, so the revision whose id is base has no is_branch_point.",experiments/python/openhands/qwen3.6-35b-a3b-fp8/python200-prime-v2-main-r1/alembic__revision_map_core__hard3_001/eval/logs/public.stdout,assistant_first_pass,assistant_first_pass,false,false,,,L1,stratified_postsample,inspected_and_probed
