task_id,task_clarity,primary_attribution,exploration_depth,verification_failure_mode,task_clarity_evidence,trajectory_evidence,paper_treatment,review_status
aiohttp__url_params_core__hard3_001,explicit_exact,model_primary,deep,entry_path_not_verified,"TASK 明确规定 invalid header name 抛出 InvalidHeaderName。","Agent 多轮检查和自测了 header 校验，但没有用 CIMultiDict.__setitem__ 这一实际失败入口验证非法名称。",include_agent_analysis,assistant_second_pass
alembic__revision_map_core__hard3_001,explicit_general,model_primary,deep,task_specific_invariant_missing,"TASK 要求 revisions 构成可查询图并报告 bases/heads；merge 后 base 仍可查询是这一行为的直接不变量。","Agent 声称大量上游与契约测试通过，但测试没有区分 merge 后 base revision 是否仍保留在索引中。",include_agent_analysis,assistant_second_pass
celery__signal_dispatch_core__hard3_001,explicit_general,model_primary,moderate,upstream_constraint_copied,"TASK 接受 Callable receiver，并要求 connect 后 send 可调用 receiver。","Agent 查阅上游后额外要求 receiver 接受 **kwargs，且自测没有覆盖零参数普通 callable。",include_agent_analysis,assistant_second_pass
cookiecutter__repo_finder_core__hard3_001,underspecified_exact_oracle,task_spec_primary,moderate,format_convention_unspecified,"TASK 只说按配置 abbreviation 模板展开，没有说明 {0}/{1} 多占位符如何由 gh:org/template 拆分并绑定。","Agent 按上游单参数 format(rest) 实现并只测试 {0}；公开文字无法唯一推出 evaluator 的参数拆分规则。",exclude_until_task_fixed,assistant_second_pass
dateutil__zone_resolver_core__hard3_001,explicit_general,mixed,deep,operation_combination_missing,"TASK 说明 alias 解析到 canonical，但没有明确 load_zone 本身也必须接受 alias，而不仅是 get。","Agent 深入测试 canonical load、alias register 和 get，却没有验证 register_alias 后直接 load_zone(alias) 的组合路径。",report_separately,assistant_second_pass
decorator__signature_preserving_core__001,underspecified_exact_oracle,task_spec_primary,moderate,argument_shape_oracle_unspecified,"TASK 提到 signature/call order 与 bound arguments，但没有明确 caller 必须收到原始 args/kwargs 形状而不能是签名绑定后的等价形状。","Agent 的 doctest 已发现参数形状差异，随后以真实上游行为为锚点选择了规范化形状；两种语义无法仅由 TASK 裁决。",exclude_until_task_fixed,assistant_second_pass
importlib_resources__traversable_tree_core__hard3_001,explicit_exact,model_primary,deep,runtime_construction_path_gap,"TASK 明确要求 files(package) 返回可工作的 FileTraversable。","Agent 广泛验证资源读取并直接探测 FileTraversable，但未覆盖当前 Python 下 package 路径触发的 pathlib 子类构造兼容性。",include_agent_analysis,assistant_second_pass
installer__wheel_record_core__hard3_001,underspecified_exact_oracle,task_spec_primary,moderate,exception_policy_unspecified,"TASK 说定位 unique .dist-info 且返回 str | None，但没有规定多个候选时必须抛 ValueError，而非返回 None。","Agent 测试了单候选和无候选并在非唯一时返回 None；精确异常策略来自 evaluator 而非 TASK。",exclude_until_task_fixed,assistant_second_pass
jupyter_core__paths_resolver_core__hard3_001,explicit_general,model_primary,deep,cross_platform_simulation_gap,"TASK 明确要求 platform 参数控制 Linux/macOS/Windows 的确定性默认路径。","Agent 检查平台分支，但没有在 POSIX 主机上以 platform=win32 验证 Windows 路径不会被宿主 pathlib 重解释。",include_agent_analysis,assistant_second_pass
keyring__backend_select_core__hard3_001,explicit_general,mixed,moderate,name_representation_missing,"TASK 写明环境变量按 backend name or class 匹配，但 Required API 未明确任意 Backend 的 name 属性约定。","Agent 测试了 MemoryBackend label 和类名，却没有覆盖候选类自定义 name 属性这一表示。",report_separately,assistant_second_pass
