task_id,contract_alignment,process_cause_primary,process_secondary_tags,alignment_reason,process_evidence_summary,review_status,annotator,adjudicated
aiohttp__url_params_core__hard3_001,aligned,false_contract_closure,narrow_validation_path;unsupported_completion_claim,TASK 明确规定无效 header name 必须抛出 InvalidHeaderName,"Agent 检查并声称实现了 RFC header-name 校验且执行多轮自测，但 CIMultiDict 的失败写入路径没有被区分性测试覆盖",assistant_first_pass,codex_assistant,false
alembic__revision_map_core__hard3_001,aligned,false_contract_closure,graph_invariant_gap;high_test_count;unsupported_completion_claim,TASK 明确要求 merge graph 保持可查询 revisions 并报告 bases 与 heads,"Agent 声称 130 个上游测试和 51 个契约测试通过，但自测没有覆盖 merge 后 base revision 仍须留在索引中的任务特定不变量",assistant_first_pass,codex_assistant,false
apischema__serialization_core__001,not_tested,non_delivery,no_submission;early_tool_termination,没有提交进入 evaluator 因而不存在 TASK–测试对齐问题,"Agent 进行了 15 个终端动作但没有编辑 submission，随后以 tool_validation_error 结束",assistant_first_pass,codex_assistant,false
build__pyproject_backend_core__hard3_001,ambiguous,not_attributable,undeclared_default_constant,TASK 要求校验 build-system 但没有声明缺省 build-backend 的精确字符串,"Evaluator 要求 setuptools.build_meta，而 Agent 采用上游的 setuptools.build_meta:__legacy__；公开契约不能决定哪一个常量正确",assistant_first_pass,codex_assistant,false
celery__signal_dispatch_core__hard3_001,aligned,false_contract_closure,overvalidation;callable_shape_gap;unsupported_completion_claim,TASK 接受普通 callable receiver 并要求 connect 后可 dispatch,"Agent 的自测未覆盖不声明 **kwargs 的普通 receiver，最终额外施加的签名限制阻止了合法调用",assistant_first_pass,codex_assistant,false
click__lazy_command_core__hard3_001,misaligned,not_attributable,undeclared_api,运行时 TASK 只声明 get_command 和 resolve 而 evaluator 直接调用 invoke,"Agent 没有实现 invoke 与其收到的 API 契约一致；该失败是 evaluator 使用未公开接口",assistant_first_pass,codex_assistant,false
cookiecutter__repo_finder_core__hard3_001,aligned,false_contract_closure,template_boundary_gap;unsupported_completion_claim,TASK 要求按配置 abbreviation 模板完成展开,"Agent 的自测只覆盖单个 format 参数，未覆盖配置模板含多个占位符时的展开边界",assistant_first_pass,codex_assistant,false
dateutil__zone_resolver_core__hard3_001,aligned,false_contract_closure,state_transition_gap;unsupported_completion_claim,TASK 明确要求 alias 沿 canonical name 解析并检测循环,"Agent 自测覆盖 alias 注册与基本 get，但未形成能区分注册成功和读取时实际追踪 alias 的状态测试",assistant_first_pass,codex_assistant,false
decorator__signature_preserving_core__001,aligned,upstream_over_task_contract,known_counterevidence;differential_anchor;unsupported_completion_claim,TASK 将调用参数形状列为 metadata signature and call order 的可观察案例,"Agent 的自写 doctest 已观察到 args/kwargs 形状不一致，随后用上游默认行为解释差异并仍宣布完成",assistant_first_pass,codex_assistant,false
dynaconf__settings_merge_core__001,not_tested,non_delivery,no_submission;early_tool_termination,没有提交进入 evaluator 因而不存在 TASK–测试对齐问题,"Agent 进行了 26 个终端动作但没有编辑 submission，随后以 tool_validation_error 结束",assistant_first_pass,codex_assistant,false
flake8__plugin_options_core__hard3_001,ambiguous,not_attributable,unnamed_entrypoint,TASK 要求 OptionManager 注册插件选项但没有声明完成该行为的方法名或签名,"Agent 实现并自测 register_plugins，而 evaluator 调用 register_options；契约不足以唯一确定入口",assistant_first_pass,codex_assistant,false
flask__route_dispatch_core__001,ambiguous,not_attributable,undeclared_equality_protocol,TASK 要求 Response normalization 但没有声明 Response 对象相等协议,"Evaluator 通过 Response(...) == Response(...) 判断正确性；Agent 的 body/status 已相同但未实现未公开的 __eq__ 语义",assistant_first_pass,codex_assistant,false
hatch__project_metadata_core__hard3_001,misaligned,not_attributable,undeclared_normalization_rule,TASK 的精确行为只写 lowercases names 而 evaluator 额外要求把空格规范化为连字符,"Agent 返回小写名称满足字面契约，失败来自测试增加的 separator canonicalization",assistant_first_pass,codex_assistant,false
