task_id,diagnostic_subset,challenge_group,pilot_task,contract_suspect,behavior_review_status,public_unmapped_count,hidden_unmapped_count,closure_review_status,file_gold_completeness,taxonomy_review_status,quarantine_status,quarantine_root_cause,priority,required_actions
aiohttp__url_params_core__hard3_001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,ai_assisted_reviewed_v1,active,,P2,review_behavior_mapping
alembic__revision_map_core__hard3_001,representative20,,false,false,ai_assisted_reviewed,0,0,ai_assisted_reviewed,complete,ai_assisted_reviewed_v1,active,,P1,review_behavior_mapping;double_review_and_adjudicate_closure
apscheduler__cron_trigger_core__hard3_001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
arrow__parse_format_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
astroid__nodes_core__001,representative20,,false,false,ai_assisted_reviewed,0,0,ai_assisted_reviewed,complete,reviewed_v1,quarantined,original_package_relocation,P0,repair_or_adjudicate_quarantined_task;review_behavior_mapping;double_review_and_adjudicate_closure
attrs__validators_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
babel__plural_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,quarantined,serialized_resource_original_module,P0,repair_or_adjudicate_quarantined_task;review_behavior_mapping
bidict__bidirectional_map_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
bleach__sanitize_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,quarantined,missing_third_party_closure,P0,repair_or_adjudicate_quarantined_task;review_behavior_mapping
boltons__iterutils_core__001,challenge20,pilot_10,true,false,ai_assisted_reviewed,0,0,ai_assisted_reviewed,complete,reviewed_v1,active,,P0,review_behavior_mapping;double_review_and_adjudicate_closure
build__pyproject_backend_core__hard3_001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,ai_assisted_reviewed_v1,active,,P2,review_behavior_mapping
cachetools__cache_eviction_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
cattrs__structure_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
celery__signal_dispatch_core__hard3_001,challenge20,pilot_10,true,false,ai_assisted_reviewed,0,0,ai_assisted_reviewed,complete,reviewed_v1,active,,P0,review_behavior_mapping;double_review_and_adjudicate_closure
cerberus__schema_validate_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
chameleon__template_compile_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
click__lazy_command_core__hard3_001,representative20,,false,false,ai_assisted_reviewed,0,0,ai_assisted_reviewed,complete,reviewed_v1,active,,P1,review_behavior_mapping;double_review_and_adjudicate_closure
click__option_parser__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
configobj__roundtrip_config_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
cookiecutter__repo_finder_core__hard3_001,challenge20,contract_review_6,false,true,ai_assisted_reviewed,0,0,ai_assisted_reviewed,complete,reviewed_v1,active,,P0,review_behavior_mapping;double_review_and_adjudicate_closure;adjudicate_contract_suspect
coverage__config_merge_core__001,challenge20,pilot_10,true,false,ai_assisted_reviewed,0,0,ai_assisted_reviewed,complete,reviewed_v1,active,,P0,review_behavior_mapping;double_review_and_adjudicate_closure
coverage__glob_matcher_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,ai_assisted_reviewed_v1,active,,P2,review_behavior_mapping
coverage__path_remap_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,ai_assisted_reviewed_v1,active,,P2,review_behavior_mapping
coverage__report_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
coverage__source_selection_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
croniter__cron_parse_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
dataclasses_json__serde_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
dateutil__zone_resolver_core__hard3_001,challenge20,contract_review_6,false,true,ai_assisted_reviewed,0,0,ai_assisted_reviewed,complete,reviewed_v1,active,,P0,review_behavior_mapping;double_review_and_adjudicate_closure;adjudicate_contract_suspect
deepdiff__deep_compare_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,quarantined,missing_third_party_closure,P0,repair_or_adjudicate_quarantined_task;review_behavior_mapping
diskcache__eviction_policy_core__hard3_001,challenge20,contract_review_6,false,true,ai_assisted_reviewed,0,0,ai_assisted_reviewed,complete,reviewed_v1,active,,P0,review_behavior_mapping;double_review_and_adjudicate_closure;adjudicate_contract_suspect
distlib__wheel_metadata_core__hard3_001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
dynaconf__settings_merge_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,quarantined,original_package_relocation,P0,repair_or_adjudicate_quarantined_task;review_behavior_mapping
email_validator__validate_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
environs__typed_env_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,quarantined,dependency_contract_version_mismatch,P0,repair_or_adjudicate_quarantined_task;review_behavior_mapping
faker__provider_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
flake8__plugin_options_core__hard3_001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
fs__url_opener_core__hard3_001,challenge20,mechanism_stress_4,false,false,ai_assisted_reviewed,0,0,ai_assisted_reviewed,complete,ai_assisted_reviewed_v1,active,,P1,review_behavior_mapping;double_review_and_adjudicate_closure
fsspec__url_chain_core__hard3_001,representative20,,false,false,ai_assisted_reviewed,0,0,ai_assisted_reviewed,complete,reviewed_v1,active,,P1,review_behavior_mapping;double_review_and_adjudicate_closure
glom__spec_eval_core__hard3_001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,ai_assisted_reviewed_v1,active,,P2,review_behavior_mapping
h11__message_parse_core__001,representative20,,false,false,ai_assisted_reviewed,0,0,ai_assisted_reviewed,complete,reviewed_v1,active,,P1,review_behavior_mapping;double_review_and_adjudicate_closure
h2__frame_parse_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
hatch__project_metadata_core__hard3_001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
httpx__request_model_core__001,,,false,false,ai_assisted_reviewed,0,0,missing,NA,reviewed_v1,active,,P2,review_behavior_mapping
