model,task_id,file,entrypoint_file,support_file,closure_file,action_step,action_id,observation_id,action_kind,evidence_kind,command_or_path,matched_source_pair,observation_sha256
deepseek-v4-pro,aiohttp__url_params_core__hard3_001,aiohttp/helpers.py,True,True,False,10,55b2941a-26d6-4934-a7d6-ea46b4cea98e,5916ec9b-201b-4f66-a958-3e5fb196dcf8,TerminalAction,search_snippet,"cd /flb/workspace/repo && grep -n ""^def \|^class \|^async def "" aiohttp/helpers.py | head -120","[""class ErrorableProtocol(Protocol):"", ""def set_exception(""]",12792cc8ce1592c771e45770b0cb02cd2b639d9135c282ed237c064c528abea7
deepseek-v4-flash,aiohttp__url_params_core__hard3_001,aiohttp/helpers.py,True,True,False,28,cb07443a-02af-4471-9c36-7e3410390665,eafd927b-ba81-487c-88cc-aedc2a9de3b5,TerminalAction,explicit_read,"cd /flb/workspace/repo && sed -n '120,170p' aiohttp/helpers.py && echo ""===http_writer checks==="" && sed -n '330,430p' aiohttp/http_writer.py","[""CHAR = {chr(i) for i in range(0, 128)}"", ""CTL = {chr(i) for i in range(0, 32)} | {""]",7505a32136264058dc2c42671e5d9a5ba45239cefaafcee48c839ff387991550
gpt-5.6-luna,aiohttp__url_params_core__hard3_001,aiohttp/helpers.py,True,True,False,8,19970162-8de9-4f3a-9f43-f25d8cbaef55,e335ad4a-dcf0-4b68-b8f2-ef7579c8f24e,FileEditorAction,explicit_read,/flb/workspace/repo/aiohttp/helpers.py,"[""COOKIE_MAX_LENGTH = 4096"", ""_QUOTED_PAIR_SUB = re.compile(r\""\\\\(.)\"")""]",484c510aaca8f66fecd9287771c0374c6834f9e50bb2e9cd3d4cd0daa7c7dc7d
glm-5.3-flash,aiohttp__url_params_core__hard3_001,aiohttp/helpers.py,True,True,False,8,eb3f800b-dd21-41b7-9110-0e525c74c64f,c23fdbe7-f0f2-40b4-b10d-53150646cd69,TerminalAction,search_snippet,"cd /flb/workspace/repo && grep -rn ""class CIMultiDict\|istr\b"" --include=*.py aiohttp | head -20; echo ---; grep -rn ""Tuple\|quote\|urlencode\|URL"" aiohttp/helpers.py | head -20","[""\""( (?:[^\""\\\\]|\\\\.)* )\"" # group 1: top-level quoted-string"", ""| ( # group 2: unquoted element""]",07a18d59d5b1c5c836fab4d8408e24e18bb23bb2a4041a50bcb42aa4f8ad087a
glm-5.3-flash,aiohttp__url_params_core__hard3_001,aiohttp/helpers.py,True,True,False,14,af16a342-f415-497c-a043-ee53c5eef9b2,dd26ee0c-3bfa-45f6-a519-36e1feb2baa9,TerminalAction,explicit_read,"sed -n 240,320p /flb/workspace/repo/aiohttp/helpers.py","[""\""\""\""Get a permitted proxy for the given URL from the env.\""\""\"""", ""if url.host is not None and proxy_bypass(url.host):""]",5d128b2710bd84baa6c734f11d7d7663580b2f4319644fb0061f7899da105238
deepseek-v4-pro,alembic__revision_map_core__hard3_001,alembic/script/revision.py,True,True,True,3,cc3941cc-ead5-4609-bd98-e5f82acb4124,2efebffc-823a-4d0a-9f33-5acc2b5507a1,TerminalAction,explicit_read,"cd /flb/workspace && wc -l repo/alembic/script/revision.py && echo ""---"" && cat repo/alembic/script/revision.py","[""\""\""\""Create a collection of \""dependencies\"" that omits dependencies"", ""that are already ancestor nodes for each revision in a given""]",a13f562f282fc7f457d63a1d5f60a817dd136def2df4b766adfa1e556678b9c1
deepseek-v4-pro,alembic__revision_map_core__hard3_001,alembic/script/base.py,False,True,True,14,36a208f7-0866-47e2-8812-ec95e9eee72c,dad87ee9-212a-4d48-ae9b-8c41d6e1f9f6,TerminalAction,search_snippet,"cd /flb/workspace && grep -n ""branch_labels\|def get_heads\|def get_current_head\|def get_revisions\|def iterate_revisions\|def get_revision\|def ancestors"" repo/alembic/script/base.py | head -40","[""\""'branch_labels' section?\"""", ""% (script.revision, branch_labels, script.path)""]",0fac3957735eda2e83e83f2878b55087ea5ddbe85751c9dc3f6cc05cc561a8dc
deepseek-v4-pro,alembic__revision_map_core__hard3_001,alembic/script/base.py,False,True,True,15,58c8d3df-234d-49c9-bbd1-e0b86750f142,ba4bcc99-1c52-467c-9c1c-6586254931a0,TerminalAction,explicit_read,"cd /flb/workspace && sed -n '260,400p' repo/alembic/script/base.py","[""\""\""\""Convert a symbolic revision, i.e. 'head' or 'base', into"", ""an actual revision number.\""\""\""""]",2fbaaa7bc20b35bb7b548ad7836a96ad9031e6e77068850c31ed65d788eb71aa
deepseek-v4-pro,alembic__revision_map_core__hard3_001,alembic/util/langhelpers.py,False,True,True,22,630d41e4-9d66-4673-a38e-27d0289ae8d9,520323a3-e4a7-4346-bbf5-79fd13053db0,TerminalAction,explicit_read,"cd /flb/workspace && sed -n '236,275p' repo/alembic/util/langhelpers.py","[""\""\""\""indicate an action after running a function within a"", "":class:`.PriorityDispatcher`""]",48a5895143991277408ea078c27da320ef127c15817c4105cf225e3f1c47dada
deepseek-v4-flash,alembic__revision_map_core__hard3_001,alembic/script/revision.py,True,True,True,4,b684ab43-6e9f-4de3-91a9-52e8bb41d271,2a8bbbd3-51e8-44a8-9f8d-11303d30f47b,TerminalAction,explicit_read,"cd /flb/workspace && sed -n '80,200p' repo/alembic/script/revision.py","[""\""\""\""memoized attribute, initializes the revision map from the"", ""initial collection.""]",79c20a03a4211bbc9890cd5c4704970d2575dd3dc9a203ef2b85e120354b2e83
deepseek-v4-flash,alembic__revision_map_core__hard3_001,alembic/util/langhelpers.py,False,True,True,15,6b70e90a-778e-467c-912f-d9ba5e311055,14a30028-5925-4b39-9dca-ad8613719aeb,TerminalAction,explicit_read,"cd /flb/workspace && sed -n '230,275p' repo/alembic/util/langhelpers.py && echo ""==="" && sed -n '435,460p' repo/alembic/util/langhelpers.py && echo ""=== memoized ==="" && grep -n ""memoized_property"" repo/alembic/util/langhelpers.py | head -3","[""\""\""\""indicate an action after running a function within a"", "":class:`.PriorityDispatcher`""]",e4c475ab4af8b55adb81f67bd0bd929c30e84296ebfab51333070264ba9ee17c
deepseek-v4-flash,alembic__revision_map_core__hard3_001,alembic/script/base.py,False,True,True,21,33a1d155-3ed2-407a-81f6-d94c488aad3b,e168f548-d2fb-4fa7-aa31-38a292cc036a,TerminalAction,explicit_read,"cd /flb/workspace/repo && sed -n '330,420p' alembic/script/base.py","[""\""Please use get_heads(), or merge the branches using \"""", ""\""alembic merge.\""""]",15b139a3557b5e6dd7cc0532bb7fd07f145c6938e1d8460641b06033732034a3
gpt-5.6-luna,alembic__revision_map_core__hard3_001,alembic/script/revision.py,True,True,True,8,c625517c-0701-4b17-8c8a-42a2eac49887,1039440c-af5f-4dd0-b9de-668d2d144898,TerminalAction,explicit_read,"sed -n '1,280p' /flb/workspace/repo/alembic/script/revision.py","[""\""\""\""memoized attribute, initializes the revision map from the"", ""initial collection.""]",a3ae03dfe47119ab3e0d05cb32ec8e71b8050582446898937194c56ba23f9063
glm-5.3-flash,alembic__revision_map_core__hard3_001,alembic/script/revision.py,True,True,True,5,d07c5340-a172-4fbd-a9c6-b2b71dc5edef,acb52c33-2bfc-468b-a786-ca461b9d0933,TerminalAction,explicit_read,"sed -n 1,260p /flb/workspace/repo/alembic/script/revision.py","[""\""\""\""memoized attribute, initializes the revision map from the"", ""initial collection.""]",66d9db26b942528eb9ebeb456ccc3c06bd32062825c806942c03a43b4264e7a4
qwen3.6-35b-a3b-fp8,alembic__revision_map_core__hard3_001,alembic/script/revision.py,True,True,True,6,21da4695-0157-430f-881b-e80f43882eb5,f274ffa9-5065-4208-9be0-abfaf3ba22b2,FileEditorAction,explicit_read,/flb/workspace/repo/alembic/script/revision.py,"[""\""\""\""Optional string/tuple of symbolic names to apply to this"", ""revision's branch\""\""\""""]",d4d8b921fa7fe373ad43b32b6726710a9194247dabb7abcfd0c40a5abaab7a10
gpt-oss-120b,alembic__revision_map_core__hard3_001,alembic/script/revision.py,True,True,True,4,446e66e2-39eb-456a-934f-2ee001090976,94f63f82-573d-4502-af74-460bbbc78442,FileEditorAction,explicit_read,/flb/workspace/repo/alembic/script/revision.py,"[""\""\""\""Optional string/tuple of symbolic names to apply to this"", ""revision's branch\""\""\""""]",d4d8b921fa7fe373ad43b32b6726710a9194247dabb7abcfd0c40a5abaab7a10
deepseek-v4-pro,apscheduler__cron_trigger_core__hard3_001,src/apscheduler/triggers/cron/__init__.py,True,True,False,4,f683ca8f-f4a9-4cf9-aa35-65ae31c88528,c663a4b8-485d-4ce6-9733-25e954ea3341,TerminalAction,explicit_read,cd /flb/workspace && cat repo/src/apscheduler/triggers/cron/__init__.py,"[""\""end_time\"": self.end_time,"", ""\""last_fire_time\"": self._last_fire_time,""]",4aa3129413262a2efc7e6c78a65b2f4497a4f1be4a02a17a1a1cdf1622bf4576
deepseek-v4-flash,apscheduler__cron_trigger_core__hard3_001,src/apscheduler/triggers/cron/__init__.py,True,True,False,7,cdd0499b-6091-4ddd-80e7-ca908d566983,746ef1b5-777f-4574-a53c-5dc09943a34b,FileEditorAction,explicit_read,/flb/workspace/repo/src/apscheduler/triggers/cron/__init__.py,"[""\""end_time\"": self.end_time,"", ""\""last_fire_time\"": self._last_fire_time,""]",b6f3d477fa131797da67c9cb576e3442a5126565a7f404c03ba4e934c3012293
gpt-5.6-luna,apscheduler__cron_trigger_core__hard3_001,src/apscheduler/triggers/cron/__init__.py,True,True,False,8,247956db-c77f-4280-adb7-454a522cb225,74cf04d7-1138-42a1-89fb-d57a5c5014ca,TerminalAction,explicit_read,"sed -n '1,280p' repo/src/apscheduler/triggers/cron/__init__.py; printf '\n--- expressions ---\n'; sed -n '1,320p' repo/src/apscheduler/triggers/cron/expressions.py; printf '\n--- fields ---\n'; sed -n '1,260p' repo/src/apscheduler/triggers/cron/fields.py","[""\""timezone\"": self.timezone,"", ""\""fields\"": [str(f) for f in self._fields],""]",a89ab8a9cbd2182716687a79612d1437ba31216aa3ef6d895a2fee56fd5c4950
glm-5.3-flash,apscheduler__cron_trigger_core__hard3_001,src/apscheduler/triggers/cron/__init__.py,True,True,False,6,87e4785f-a212-4974-9b15-495e7ff73e40,68454074-2ae8-4500-8173-8447b0a77ba7,FileEditorAction,explicit_read,/flb/workspace/repo/src/apscheduler/triggers/cron/__init__.py,"[""\""end_time\"": self.end_time,"", ""\""last_fire_time\"": self._last_fire_time,""]",b6f3d477fa131797da67c9cb576e3442a5126565a7f404c03ba4e934c3012293
qwen3.6-35b-a3b-fp8,apscheduler__cron_trigger_core__hard3_001,src/apscheduler/triggers/cron/__init__.py,True,True,False,6,4effd7d7-2ebf-4800-ae38-a6abffa3defb,67f6ad95-c629-43d7-b004-4345438a61fa,FileEditorAction,explicit_read,/flb/workspace/repo/src/apscheduler/triggers/cron/__init__.py,"[""\""end_time\"": self.end_time,"", ""\""last_fire_time\"": self._last_fire_time,""]",b6f3d477fa131797da67c9cb576e3442a5126565a7f404c03ba4e934c3012293
