task_id,upstream_outcome,upstream_detail,missing_entrypoints,behavior_failed,reshaped_tests,undeclared_members,undeclared_count,stubbed_symbols,provenance_defect,contract_underdetermined,evidence,manual_verdict,manual_reason
aiohttp__url_params_core__hard3_001,env_unavailable,upstream import or collection failed; no behavior test executed,aiohttp.helpers.build_url,,,CIMultiDict.__getitem__;CIMultiDict.__setitem__,2,CIMultiDict;InvalidHeaderName;normalize_headers,True,True,E   ImportError: cannot import name 'build_url' from 'aiohttp.helpers' (/Users/chz/anaconda3/lib/python3.12/site-packages/aiohttp/helpers.py),underdetermined,"B003 says ""Invalid header names raise InvalidHeaderName"" without naming the entry that validates. required_api declares only CIMultiDict.getall as a member, yet the hidden test drives validation through CIMultiDict.__setitem__. Placing the check in normalize_headers, as the submission did, satisfies every declared clause."
dateutil__zone_resolver_core__hard3_001,env_unavailable,upstream import or collection failed; no behavior test executed,dateutil.zoneinfo.ZoneResolver,,,,0,InvalidTZFileError;UnknownZoneError;parse_tzfile,True,False,E   ImportError: cannot import name 'ZoneResolver' from 'dateutil.zoneinfo' (/Users/chz/anaconda3/lib/python3.12/site-packages/dateutil/zoneinfo/__init__.py),,
installer__wheel_record_core__hard3_001,env_unavailable,upstream import or collection failed; no behavior test executed,installer.records.parse_wheel_record,,,,0,find_dist_info;script_name,True,False,E   ModuleNotFoundError: No module named 'installer.utils',,
pygments__lexer_core__001,upstream_contradicts,1/3 behavior tests assert against pinned upstream,,test_stripall_option_removes_whitespace_tokens,,,0,,False,False,assert False,fair,"Contract wins over upstream and says so. B004 states ""honor lexer options such as stripall ... Required observable cases include stripall option removes whitespace tokens"", which determines the hidden assertion that no Token.Text survives. Pinned upstream only strips leading/trailing input whitespace, so the probe's upstream_contradicts result reflects a deliberate contract override, not an underspecified clause. The agent followed upstream instead of the contract: genuine agent failure."
pytest__marker_registry_core__hard3_001,env_unavailable,probe result rejected by adjudication,,test_check_unknown_strict_raises;test_check_unknown_warns;test_merge_plugin_markers_does_not_overwrite,,,0,Marker;MarkerRegistry;UnknownMarkerWarning,False,False,"AssertionError: Could not obtain a node for scope ""Scope.Session"" for function <Function test_merge_plugin_markers_does_not_overwrite>",undecided,"Probe artifact, not a contract finding: the pinned upstream is pytest itself, so loading the snapshot inside the running pytest process breaks fixture scope resolution (""Could not obtain a node for scope Scope.Session""). Judging this task needs an out-of-process runner."
python_decouple__config_repository_core__001,api_reshaped,2/2 behavior tests differ only in API shape,,,test_choices_and_float;test_env_file_quotes_comments_and_empty,,0,RepositoryDict,False,True,TypeError: Config.__init__() got an unexpected keyword argument 'environ',underdetermined,"Probe stops at Config(environ=) before reaching the assertion, so this verdict rests on running the pinned repo/decouple.py directly: on the hidden input NAME='Ada Lovelace' # note it yields ""'Ada Lovelace' # note"" while the hidden test demands 'Ada Lovelace'. Unlike pygments and multidict the contract does not override upstream anywhere: B002 says only "".env quoted-value and comment parsing"" and the echoed case name ""env file quotes comments and empty"" does not state that a trailing comment must be stripped from a quoted value on the same line."
responses__request_matcher_core__hard3_001,api_reshaped,2/2 behavior tests differ only in API shape,,,test_query_and_header_matchers_and_once_behavior;test_reset_clears_registry_and_history,,0,MockResponse;MockResponseRegistry,False,False,NotImplementedError: symbol absent from pinned upstream,,
zope_interface__adapter_registry_core__001,api_reshaped,5/5 behavior tests differ only in API shape,,,test_class_declaration_is_inherited;test_inherited_required_and_provided_interfaces_match;test_lookup_all_merges_bases_and_local_overrides;test_multi_adapter_default_and_factory_none;test_named_registration_exactness_and_unregister_value_guard,,0,AdapterRegistry;Interface;implementer;providedBy,False,False,NotImplementedError: symbol absent from pinned upstream,,
alembic__revision_map_core__hard3_001,env_unavailable,upstream import or collection failed; no behavior test executed,,,,,0,MissingRevision,False,False,E   ImportError: cannot import name 'not_none' from 'alembic.util' (unknown location),,
build__pyproject_backend_core__hard3_001,env_unavailable,upstream import or collection failed; no behavior test executed,build._builder.parse_build_system_table,,,,0,validate_source_directory,True,False,E   ModuleNotFoundError: No module named 'pyproject_hooks',,
celery__signal_dispatch_core__hard3_001,env_unavailable,upstream import or collection failed; no behavior test executed,,,,,0,,False,False,E   ImportError: Signal resolved outside the pinned snapshot: /Users/chz/anaconda3/lib/python3.12/site-packages/celery/utils/dispatch/signal.py,,
cookiecutter__repo_finder_core__hard3_001,env_unavailable,upstream import or collection failed; no behavior test executed,cookiecutter.repository.RepoFinder,,,,0,UnsafePathError;expand_abbreviation;safe_join,True,False,E   ImportError: cannot import name 'RepoFinder' from 'cookiecutter.repository' (/Users/chz/anaconda3/lib/python3.12/site-packages/cookiecutter/repository.py),,
decorator__signature_preserving_core__001,upstream_pass,all 2 behavior tests pass on pinned upstream,,,,,0,,False,False,,,
flake8__plugin_options_core__hard3_001,api_reshaped,1/1 behavior tests differ only in API shape,,,test_select_and_ignore_precedence,,0,OptionSpec;PluginSpec;apply_select_ignore;classify_plugins,False,False,NotImplementedError: symbol absent from pinned upstream,,
flask__route_dispatch_core__001,api_reshaped,2/2 behavior tests differ only in API shape,,,test_error_handlers;test_string_converter_and_response_passthrough,,0,,False,False,AttributeError: 'App' object has no attribute 'default_config',,
importlib_resources__traversable_tree_core__hard3_001,api_reshaped,5/5 behavior tests differ only in API shape,,,test_memory_traversable_matches_filesystem_contract;test_missing_resource_raises_traversal_error;test_nested_joinpath_accepts_multiple_segments;test_parent_traversal_is_rejected;test_text_encoding_and_binary_open_are_preserved,,0,MemoryTraversable,False,False,ModuleNotFoundError: No module named 'importlib_resources.future',,
jupyter_core__paths_resolver_core__hard3_001,api_reshaped,4/4 behavior tests differ only in API shape,,,test_hidden_no_config_uses_clean_config_dir_only;test_hidden_prefer_environment_over_user_changes_order;test_hidden_runtime_dir_env_override_and_xdg_fallback;test_hidden_windows_path_separator_and_programdata_default,,0,,False,False,TypeError: jupyter_path() got an unexpected keyword argument 'env',,
