model,arm,task_id,repository,cohort,lift_type,functional_pass,delivered,first_outcome,run_status,last_conversation_error,service_error_recorded,conversation_error_codes,api_error_without_submission,max_steps,timeout_seconds,persisted_max_iterations,context_window_tokens,reserved_output_tokens,agent_network,eval_network,eval_capsule,agent_exit_status,record_path
gpt-5.6-luna,full_repository,deepdiff__deep_compare_core__001,github__qlustered__deepdiff,earlier,Direct,1,1,Pass,passed,,0,,0,,3600,500,131072,8192,bridge,none,f95897acba7f018b073f79dcaa9b03a12190efee5a04ee418c9fab4223ea1b25,passed,gpt-5.6-luna/source-ablation-40-r1/full_repository/deepdiff__deep_compare_core__001/run.json
gpt-5.6-luna,full_repository,mako__lexer_expression_core__001,github__sqlalchemy__mako,earlier,Direct,1,1,Pass,passed,,0,,0,,3600,500,131072,8192,bridge,none,88c528dacdae0b25068617dcaa9fff28ca0394553c25e9f86dd29334dfbe92b7,passed,gpt-5.6-luna/source-ablation-40-r1/full_repository/mako__lexer_expression_core__001/run.json
gpt-5.6-luna,full_repository,parso__python_parse_core__001,github__davidhalter__parso,earlier,Direct,1,1,Pass,passed,,0,,0,,3600,500,131072,8192,bridge,none,66bf469713bb78d02065912df64231d8274afcece9838cd0c61beb33c51648c2,passed,gpt-5.6-luna/source-ablation-40-r1/full_repository/parso__python_parse_core__001/run.json
gpt-5.6-luna,full_repository,pydantic_v1__validation_error_core__001,github__pydantic__pydantic,earlier,Adapted,0,0,Missing,missing_submission,LLMServiceUnavailableError,1,LLMServiceUnavailableError,1,,3600,500,131072,8192,bridge,none,,passed,gpt-5.6-luna/source-ablation-40-r1/full_repository/pydantic_v1__validation_error_core__001/run.json
gpt-5.6-luna,full_repository,pytest__ini_markers_core__001,github__pytest_dev__pytest,earlier,Composite,0,0,Missing,missing_submission,LLMServiceUnavailableError,1,LLMServiceUnavailableError,1,,3600,500,131072,8192,bridge,none,,passed,gpt-5.6-luna/source-ablation-40-r1/full_repository/pytest__ini_markers_core__001/run.json
gpt-5.6-luna,full_repository,decorator__signature_preserving_core__001,github__micheles__decorator,earlier,Direct,0,1,Public,failed,,0,,0,,3600,500,131072,8192,bridge,none,71c9e961f4706b6f3a4a3b55995022d2150de4b3c698fc3e1ff16957a170d33b,passed,gpt-5.6-luna/source-ablation-40-r1/full_repository/decorator__signature_preserving_core__001/run.json
gpt-5.6-luna,full_repository,hatch__project_metadata_core__hard3_001,github__pypa__hatch,later,Adapted,0,1,Public,failed,LLMBadRequestError,1,LLMBadRequestError,0,,3600,500,131072,8192,bridge,none,9c5c6cd6c7506b6f197236f928c41089610363da01fc49d7e82da6d353dc6684,invalid_encrypted_content,gpt-5.6-luna/source-ablation-40-r1/full_repository/hatch__project_metadata_core__hard3_001/run.json
gpt-5.6-luna,full_repository,astroid__nodes_core__001,github__pycqa__astroid,earlier,Adapted,0,0,Missing,missing_submission,LLMServiceUnavailableError,1,LLMServiceUnavailableError,1,,3600,500,131072,8192,bridge,none,,tool_validation_error,gpt-5.6-luna/source-ablation-40-r1/full_repository/astroid__nodes_core__001/run.json
gpt-5.6-luna,full_repository,babel__plural_core__001,github__python_babel__babel,earlier,Adapted,1,1,Pass,passed,,0,,0,,3600,500,131072,8192,bridge,none,b3449980bb803bb822dcd9f6847d96c347c5845e368ebdca2b44db82143c4310,passed,gpt-5.6-luna/source-ablation-40-r1/full_repository/babel__plural_core__001/run.json
gpt-5.6-luna,full_repository,attrs__validators_core__001,github__python_attrs__attrs,earlier,Direct,1,1,Pass,passed,,0,,0,,3600,500,131072,8192,bridge,none,c14d0471494944db8d8976b0d379b597e295978baf4b1e9676ea5f27ba1dab2d,passed,gpt-5.6-luna/source-ablation-40-r1/full_repository/attrs__validators_core__001/run.json
gpt-5.6-luna,full_repository,jinja2__loader_inheritance_core__001,github__pallets__jinja,earlier,Adapted,0,0,Missing,missing_submission,,0,,0,,3600,500,131072,8192,bridge,none,,tool_validation_error,gpt-5.6-luna/source-ablation-40-r1/full_repository/jinja2__loader_inheritance_core__001/run.json
gpt-5.6-luna,full_repository,pluggy__hook_wrapper_core__hard3_001,github__pytest_dev__pluggy,later,Adapted,0,1,Public,failed,,0,,0,,3600,500,131072,8192,bridge,none,8119f22eac409fa827b6b79eebbc860bfc001b14c6deb67b09e727a0e4bc74fd,passed,gpt-5.6-luna/source-ablation-40-r1/full_repository/pluggy__hook_wrapper_core__hard3_001/run.json
