task_id,first_failure_stage,output_root_cause,contract_alignment,process_cause_primary,process_secondary_tags,completion_claim,verification_actions,submission_files,agent_exit_status,agent_api_calls,assistant_steps,context_violation,condensation_events,alignment_reason,process_evidence_summary,review_status,annotator,adjudicated,trajectory_path,evaluator_evidence_path
click__lazy_command_core__hard3_001,public_failure,task_or_evaluator_defect,misaligned,not_attributable,undeclared_api,true,4,3,tool_validation_error,48,47,false,0,运行时 TASK 只声明 get_command 和 resolve 而 evaluator 直接调用 invoke,Agent 没有实现 invoke 与其收到的 API 契约一致；该失败是 evaluator 使用未公开接口,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/click__lazy_command_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/click__lazy_command_core__hard3_001/eval/logs/public.stdout
hatch__project_metadata_core__hard3_001,public_failure,task_or_evaluator_defect,misaligned,not_attributable,undeclared_normalization_rule,true,10,3,tool_validation_error,85,88,true,1,TASK 的精确行为只写 lowercases names 而 evaluator 额外要求把空格规范化为连字符,Agent 返回小写名称满足字面契约，失败来自测试增加的 separator canonicalization,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/hatch__project_metadata_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/hatch__project_metadata_core__hard3_001/eval/logs/public.stdout
parsel__selector_namespace_core__hard3_001,public_failure,task_or_evaluator_defect,misaligned,not_attributable,undeclared_api;post_run_task_fixed,false,1,6,step_limit_exceeded,124,122,true,2,运行时 TASK 未声明 Selector.get/getall 但 evaluator 调用 css(...).get(),当前仓库 TASK 已在实验后补入 get/getall，证明旧实验的接口契约不完整,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/parsel__selector_namespace_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/parsel__selector_namespace_core__hard3_001/eval/logs/public.stdout
paste__dispatch_map_core__001,public_failure,task_or_evaluator_defect,misaligned,not_attributable,undeclared_response_body,false,2,2,passed,14,15,false,0,TASK 只要求未匹配路径返回 HTTP 404 status,Agent 已返回 404 状态，evaluator 继续要求正文包含字面量 404，属于未公开的输出格式要求,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/paste__dispatch_map_core__001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/paste__dispatch_map_core__001/eval/logs/public.stdout
pluggy__hook_wrapper_core__hard3_001,public_failure,task_or_evaluator_defect,misaligned,not_attributable,undeclared_api,true,8,5,tool_validation_error,61,60,false,0,运行时 TASK 声明 call_extra 与 hook ordering 但没有声明 call_historic,Evaluator 的首个失败直接调用未公开的 call_historic 及其参数签名,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/pluggy__hook_wrapper_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/pluggy__hook_wrapper_core__hard3_001/eval/logs/public.stdout
pytest__ini_markers_core__001,public_failure,task_or_evaluator_defect,misaligned,not_attributable,undeclared_api;post_run_task_fixed,true,12,1,tool_validation_error,68,66,false,0,运行时 TASK 只声明 MarkerRegistry.from_ini 而 evaluator 调用 from_lines,当前仓库 TASK 已在实验后补入 from_lines/add_line/description，旧实验失败不能视为 Agent 漏实现已知 API,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/pytest__ini_markers_core__001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/pytest__ini_markers_core__001/eval/logs/public.stdout
readme_renderer__content_type_core__hard3_001,public_failure,task_or_evaluator_defect,misaligned,not_attributable,undeclared_output_marker,true,4,4,tool_validation_error,60,58,false,0,TASK 要求按 content_type 选择 Markdown renderer 但没有要求输出 HTML 包含字面量 markdown,Agent 已把 # Title 渲染成 h1，evaluator 仍以输出中是否出现 markdown 字样判定，断言不对应公开行为,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/readme_renderer__content_type_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/readme_renderer__content_type_core__hard3_001/eval/logs/public.stdout
aiohttp__url_params_core__hard3_001,hidden_failure,contract_api_completion,aligned,false_contract_closure,narrow_validation_path;unsupported_completion_claim,true,9,4,tool_validation_error,93,91,true,0,TASK 明确规定无效 header name 必须抛出 InvalidHeaderName,Agent 检查并声称实现了 RFC header-name 校验且执行多轮自测，但 CIMultiDict 的失败写入路径没有被区分性测试覆盖,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/aiohttp__url_params_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/aiohttp__url_params_core__hard3_001/eval/logs/hidden.stdout
alembic__revision_map_core__hard3_001,public_failure,behavior_drift,aligned,false_contract_closure,graph_invariant_gap;high_test_count;unsupported_completion_claim,true,14,3,tool_validation_error,117,113,true,1,TASK 明确要求 merge graph 保持可查询 revisions 并报告 bases 与 heads,Agent 声称 130 个上游测试和 51 个契约测试通过，但自测没有覆盖 merge 后 base revision 仍须留在索引中的任务特定不变量,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/alembic__revision_map_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/alembic__revision_map_core__hard3_001/eval/logs/public.stdout
apischema__serialization_core__001,missing_submission,agent_process_non_delivery,not_tested,non_delivery,no_submission;early_tool_termination,false,0,0,tool_validation_error,10,15,false,0,没有提交进入 evaluator 因而不存在 TASK–测试对齐问题,Agent 进行了 15 个终端动作但没有编辑 submission，随后以 tool_validation_error 结束,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/apischema__serialization_core__001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/apischema__serialization_core__001/run.json
build__pyproject_backend_core__hard3_001,public_failure,behavior_drift,ambiguous,not_attributable,undeclared_default_constant,true,2,3,tool_validation_error,30,28,false,0,TASK 要求校验 build-system 但没有声明缺省 build-backend 的精确字符串,Evaluator 要求 setuptools.build_meta，而 Agent 采用上游的 setuptools.build_meta:__legacy__；公开契约不能决定哪一个常量正确,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/build__pyproject_backend_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/build__pyproject_backend_core__hard3_001/eval/logs/public.stdout
celery__signal_dispatch_core__hard3_001,public_failure,behavior_drift,aligned,false_contract_closure,overvalidation;callable_shape_gap;unsupported_completion_claim,true,2,2,tool_validation_error,22,20,false,0,TASK 接受普通 callable receiver 并要求 connect 后可 dispatch,Agent 的自测未覆盖不声明 **kwargs 的普通 receiver，最终额外施加的签名限制阻止了合法调用,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/celery__signal_dispatch_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/celery__signal_dispatch_core__hard3_001/eval/logs/public.stdout
cookiecutter__repo_finder_core__hard3_001,public_failure,behavior_drift,aligned,false_contract_closure,template_boundary_gap;unsupported_completion_claim,true,2,4,passed,35,34,false,0,TASK 要求按配置 abbreviation 模板完成展开,Agent 的自测只覆盖单个 format 参数，未覆盖配置模板含多个占位符时的展开边界,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/cookiecutter__repo_finder_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/cookiecutter__repo_finder_core__hard3_001/eval/logs/public.stdout
dateutil__zone_resolver_core__hard3_001,hidden_failure,contract_api_completion,aligned,false_contract_closure,state_transition_gap;unsupported_completion_claim,true,5,3,passed,54,54,false,0,TASK 明确要求 alias 沿 canonical name 解析并检测循环,Agent 自测覆盖 alias 注册与基本 get，但未形成能区分注册成功和读取时实际追踪 alias 的状态测试,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/dateutil__zone_resolver_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/dateutil__zone_resolver_core__hard3_001/eval/logs/hidden.stdout
decorator__signature_preserving_core__001,public_failure,behavior_drift,aligned,upstream_over_task_contract,known_counterevidence;differential_anchor;unsupported_completion_claim,true,8,1,tool_validation_error,34,32,false,0,TASK 将调用参数形状列为 metadata signature and call order 的可观察案例,Agent 的自写 doctest 已观察到 args/kwargs 形状不一致，随后用上游默认行为解释差异并仍宣布完成,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/decorator__signature_preserving_core__001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/decorator__signature_preserving_core__001/eval/logs/public.stdout
dynaconf__settings_merge_core__001,missing_submission,agent_process_non_delivery,not_tested,non_delivery,no_submission;early_tool_termination,false,0,0,tool_validation_error,21,26,false,0,没有提交进入 evaluator 因而不存在 TASK–测试对齐问题,Agent 进行了 26 个终端动作但没有编辑 submission，随后以 tool_validation_error 结束,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/dynaconf__settings_merge_core__001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/dynaconf__settings_merge_core__001/run.json
flake8__plugin_options_core__hard3_001,public_failure,contract_api_completion,ambiguous,not_attributable,unnamed_entrypoint,true,2,1,tool_validation_error,56,48,false,0,TASK 要求 OptionManager 注册插件选项但没有声明完成该行为的方法名或签名,Agent 实现并自测 register_plugins，而 evaluator 调用 register_options；契约不足以唯一确定入口,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/flake8__plugin_options_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/flake8__plugin_options_core__hard3_001/eval/logs/public.stdout
flask__route_dispatch_core__001,public_failure,behavior_drift,ambiguous,not_attributable,undeclared_equality_protocol,true,7,5,tool_validation_error,74,72,true,1,TASK 要求 Response normalization 但没有声明 Response 对象相等协议,Evaluator 通过 Response(...) == Response(...) 判断正确性；Agent 的 body/status 已相同但未实现未公开的 __eq__ 语义,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/flask__route_dispatch_core__001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/flask__route_dispatch_core__001/eval/logs/public.stdout
importlib_resources__traversable_tree_core__hard3_001,public_failure,behavior_drift,aligned,false_contract_closure,construction_path_gap;unsupported_completion_claim,true,0,6,passed,90,93,true,1,TASK 明确要求 files(anchor) 返回可构造的 FileTraversable,Agent 实现并验证多类资源读取，但未覆盖 pathlib 子类在当前 Python 版本上的实际构造路径,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/importlib_resources__traversable_tree_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/importlib_resources__traversable_tree_core__hard3_001/eval/logs/public.stdout
installer__wheel_record_core__hard3_001,hidden_failure,contract_api_completion,aligned,false_contract_closure,cardinality_boundary_gap;unsupported_completion_claim,true,3,1,tool_validation_error,30,27,false,0,TASK 明确说 find_dist_info 定位 unique .dist-info directory,Agent 的 36 项自测覆盖单候选与无候选，未覆盖多个候选必须拒绝的唯一性边界,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/installer__wheel_record_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/installer__wheel_record_core__hard3_001/eval/logs/hidden.stdout
jupyter_core__paths_resolver_core__hard3_001,public_failure,behavior_drift,aligned,false_contract_closure,cross_platform_path_gap;unsupported_completion_claim,true,5,1,tool_validation_error,60,59,true,0,TASK 明确要求 deterministic Windows defaults independent of host platform,Agent 的 evaluator-style 自测没有在 POSIX 主机上验证 Windows 路径不能经 pathlib 重新解释,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/jupyter_core__paths_resolver_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/jupyter_core__paths_resolver_core__hard3_001/eval/logs/public.stdout
keyring__backend_select_core__hard3_001,public_failure,behavior_drift,aligned,false_contract_closure,name_resolution_gap;unsupported_completion_claim,true,4,6,tool_validation_error,42,40,false,0,TASK 明确要求 PYTHON_KEYRING_BACKEND 匹配 backend name or class,Agent 的 33 项本地测试没有覆盖环境变量用实例 label/name 选择候选的路径,assistant_first_pass,codex_assistant,false,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/keyring__backend_select_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/python200-hard-main-20260829/keyring__backend_select_core__hard3_001/eval/logs/public.stdout
