model,earliest_failure_stage,failures,median_tokens,tasks
deepseek/deepseek-v4-flash,boundary_recovery,1,1860449.0,1
deepseek/deepseek-v4-flash,budget_exhaustion,3,4634141.0,3
deepseek/deepseek-v4-flash,dependency_discovery,23,1949668.0,23
deepseek/deepseek-v4-flash,dynamic_semantics,10,1406822.0,10
deepseek/deepseek-v4-flash,evaluator_or_environment,2,1978703.0,2
deepseek/deepseek-v4-flash,implementation,17,1824528.0,17
deepseek/deepseek-v4-flash,localization,2,27700.5,2
deepseek/deepseek-v4-flash,unclear,1,4976778.0,1
openai/Qwen3-Coder-30B-A3B-Instruct,boundary_recovery,4,2015438.0,4
openai/Qwen3-Coder-30B-A3B-Instruct,budget_exhaustion,10,4290327.0,10
openai/Qwen3-Coder-30B-A3B-Instruct,dependency_discovery,8,1249583.5,8
openai/Qwen3-Coder-30B-A3B-Instruct,dynamic_semantics,6,2573681.5,6
openai/Qwen3-Coder-30B-A3B-Instruct,evaluator_or_environment,21,2959607.0,21
openai/Qwen3-Coder-30B-A3B-Instruct,implementation,27,1903135.0,27
openai/Qwen3.6-27B-FP8,boundary_recovery,1,4412127.0,1
openai/Qwen3.6-27B-FP8,budget_exhaustion,14,586014.0,14
openai/Qwen3.6-27B-FP8,dependency_discovery,26,1407375.0,26
openai/Qwen3.6-27B-FP8,dynamic_semantics,12,709008.0,12
openai/Qwen3.6-27B-FP8,evaluator_or_environment,21,2834499.0,21
openai/Qwen3.6-27B-FP8,implementation,17,977456.0,17
openai/Qwen3.6-27B-FP8,localization,1,3535864.0,1
openai/Qwen3.6-35B-A3B-FP8,boundary_recovery,9,2487721.0,9
openai/Qwen3.6-35B-A3B-FP8,budget_exhaustion,5,367403.0,5
openai/Qwen3.6-35B-A3B-FP8,dependency_discovery,28,2196249.5,28
openai/Qwen3.6-35B-A3B-FP8,dynamic_semantics,15,1256277.0,15
openai/Qwen3.6-35B-A3B-FP8,evaluator_or_environment,18,2362939.0,18
openai/Qwen3.6-35B-A3B-FP8,implementation,19,908992.0,19
openai/Qwen3.6-35B-A3B-FP8,localization,2,920408.0,2
openai/Qwen3.6-35B-A3B-FP8,verification,2,3402378.0,2
