model,task_id,repository,cohort,lift_type,full_pass,contract_pass,delta,full_outcome,contract_outcome,both_delivered,any_service_error,any_api_empty
gpt-5.6-luna,deepdiff__deep_compare_core__001,github__qlustered__deepdiff,earlier,Direct,1,1,0,Pass,Pass,1,1,0
gpt-5.6-luna,mako__lexer_expression_core__001,github__sqlalchemy__mako,earlier,Direct,1,0,1,Pass,Public,1,0,0
gpt-5.6-luna,parso__python_parse_core__001,github__davidhalter__parso,earlier,Direct,1,0,1,Pass,Public,1,1,0
gpt-5.6-luna,pydantic_v1__validation_error_core__001,github__pydantic__pydantic,earlier,Adapted,0,0,0,Missing,Missing,0,1,1
gpt-5.6-luna,pytest__ini_markers_core__001,github__pytest_dev__pytest,earlier,Composite,0,0,0,Missing,Missing,0,1,1
gpt-5.6-luna,decorator__signature_preserving_core__001,github__micheles__decorator,earlier,Direct,0,0,0,Public,Missing,0,1,1
gpt-5.6-luna,hatch__project_metadata_core__hard3_001,github__pypa__hatch,later,Adapted,0,0,0,Public,Public,1,1,0
gpt-5.6-luna,astroid__nodes_core__001,github__pycqa__astroid,earlier,Adapted,0,0,0,Missing,Hidden,0,1,1
gpt-5.6-luna,babel__plural_core__001,github__python_babel__babel,earlier,Adapted,1,0,1,Pass,Hidden,1,1,0
gpt-5.6-luna,attrs__validators_core__001,github__python_attrs__attrs,earlier,Direct,1,1,0,Pass,Pass,1,0,0
gpt-5.6-luna,jinja2__loader_inheritance_core__001,github__pallets__jinja,earlier,Adapted,0,1,-1,Missing,Pass,0,0,0
gpt-5.6-luna,pluggy__hook_wrapper_core__hard3_001,github__pytest_dev__pluggy,later,Adapted,0,0,0,Public,Public,1,0,0
gpt-5.6-luna,requests_cache__cache_key_core__hard3_001,github__requests_cache__requests_cache,later,Composite,0,0,0,Hidden,Hidden,1,1,0
gpt-5.6-luna,tomlkit__roundtrip_document__001,github__python_poetry__tomlkit,earlier,Direct,1,0,1,Pass,Public,1,0,0
gpt-5.6-luna,python_decouple__config_repository_core__001,github__hbnetwork__python_decouple,earlier,Adapted,0,1,-1,Hidden,Pass,1,0,0
gpt-5.6-luna,voluptuous__schema_validate_core__001,github__alecthomas__voluptuous,earlier,Direct,1,1,0,Pass,Pass,1,1,0
gpt-5.6-luna,lark__parse_tree_core__001,github__lark_parser__lark,earlier,Direct,1,0,1,Pass,Public,1,0,0
gpt-5.6-luna,platformdirs__app_dirs_core__hard3_001,github__tox_dev__platformdirs,later,Adapted,1,0,1,Pass,Public,1,0,0
gpt-5.6-luna,setuptools_scm__version_normalize_core__hard3_001,github__pypa__setuptools_scm,later,Adapted,0,0,0,Public,Public,1,1,0
gpt-5.6-luna,yamale__schema_validate_core__hard3_001,github__23andme__yamale,later,Adapted,0,0,0,Public,Public,1,0,0
gpt-5.6-luna,humanize__naturaltime_core__001,github__python_humanize__humanize,earlier,Direct,1,0,1,Pass,Public,1,0,0
