model,task_id,functional_pass,first_failure_stage,run_directory,run_json_exists,events_path,events_present_nonempty
deepseek-v4-pro,aiohttp__url_params_core__hard3_001,False,hidden_failure,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/aiohttp__url_params_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/aiohttp__url_params_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,alembic__revision_map_core__hard3_001,False,public_failure,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/alembic__revision_map_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/alembic__revision_map_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,apscheduler__cron_trigger_core__hard3_001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/apscheduler__cron_trigger_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/apscheduler__cron_trigger_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,arrow__parse_format_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/arrow__parse_format_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/arrow__parse_format_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,astroid__nodes_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/astroid__nodes_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/astroid__nodes_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,attrs__validators_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/attrs__validators_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/attrs__validators_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,babel__plural_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/babel__plural_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/babel__plural_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,bidict__bidirectional_map_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/bidict__bidirectional_map_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/bidict__bidirectional_map_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,bleach__sanitize_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/bleach__sanitize_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/bleach__sanitize_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,blinker__signal_registry_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/blinker__signal_registry_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/blinker__signal_registry_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,boltons__iterutils_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/boltons__iterutils_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/boltons__iterutils_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,build__pyproject_backend_core__hard3_001,False,public_failure,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/build__pyproject_backend_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/build__pyproject_backend_core__hard3_001/agent/openhands_events.jsonl,True
deepseek-v4-pro,cachetools__cache_eviction_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/cachetools__cache_eviction_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/cachetools__cache_eviction_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,cattrs__structure_core__001,True,functional_pass,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/cattrs__structure_core__001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/cattrs__structure_core__001/agent/openhands_events.jsonl,True
deepseek-v4-pro,celery__signal_dispatch_core__hard3_001,False,public_failure,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/celery__signal_dispatch_core__hard3_001,True,experiments/python/openhands/deepseek-v4-pro/python150-prime-v2-main-r1/celery__signal_dispatch_core__hard3_001/agent/openhands_events.jsonl,True
